"","STN012.30.fil.dura.r1","STN012.30.fil.dura.r2","STN012.300.fil.dura.r1","STN012.300.fil.dura.r2","STN012.730.fil.dura.r1","STN012.730.fil.dura.r2","STN014.300.fil.dura.r1","STN014.300.fil.dura.r2","STN014.40.fil.dura.r1","STN014.40.fil.dura.r2","STN014.460.fil.dura.r1","STN014.460.fil.dura.r2","STN014.580.fil.dura.r1","STN014.580.fil.dura.r2","STN014.700.fil.dura.r1","STN014.700.fil.dura.r2","STN014.860.fil.dura.r1","STN014.860.fil.dura.r2","STN056a.150.fil.dura.r1","STN056a.150.fil.dura.r2","STN056a.170.fil.dura.r1","STN056a.170.fil.dura.r2","STN056a.310.fil.dura.r1","STN056a.310.fil.dura.r2","STN056b.190.fil.dura.r1","STN056b.190.fil.dura.r2","STN056b.30.fil.dura.r1","STN056b.30.fil.dura.r2","STN056b.350.fil.dura.r1","STN056b.350.fil.dura.r2","STN056b.390.fil.dura.r1","STN056b.390.fil.dura.r2","STN056b.410.fil.dura.r1","STN056b.410.fil.dura.r2","STN056b.90.fil.dura.r1","STN056b.90.fil.dura.r2","STN068.190.fil.dura.r1","STN068.190.fil.dura.r2","STN068.257.fil.dura.r1","STN068.257.fil.dura.r2","STN068.90.fil.dura.r1","STN068.90.fil.dura.r2","STN078.100.fil.dura.r1","STN078.100.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN078.20.fil.dura.r1","STN078.20.fil.dura.r2","STN078.300.fil.dura.r1","STN078.300.fil.dura.r2","STN078.440.fil.dura.r1","STN078.440.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN089.2.fil.dura.r1","STN089.2.fil.dura.r2","STN089.200.fil.dura.r1","STN089.300.fil.dura.r1","STN089.300.fil.dura.r2","STN089.500.fil.dura.r1","STN089.500.fil.dura.r2","STN106.100.fil.dura.r1","STN106.100.fil.dura.r2","STN106.170.fil.dura.r1","STN106.170.fil.dura.r2","STN106.20.fil.dura.r1","STN106.20.fil.dura.r2","STN106.318.fil.dura.r1","STN106.318.fil.dura.r2","STN132.100.fil.steri.r1","STN132.100.fil.steri.r2","STN132.200.fil.dura.r2","STN132.200.fil.steri.r1","STN132.30.fil.steri.r1","STN132.30.fil.steri.r2","STN132.305.fil.dura.r1","STN132.305.fil.dura.r2","STN132.505.fil.dura.r1","STN132.505.fil.dura.r2","STN146.160.fil.poly.S.r1","STN146.201.fil.steri.r1","STN146.201.fil.steri.r2","STN146.250.fil.poly.S.r1","STN146.268.fil.steri.r1","STN146.268.fil.steri.r2","STN146.30.fil.steri.r1","STN146.30.fil.steri.r2","STN153.120.fil.poly.S.r1","STN153.160.fil.poly.S.r1","STN153.2.fil.poly.S","STN153.200.fil.poly.L.r1","STN153.300.fil.poly.L.r1","STN153.548.fil.poly.L.r1","STN174.280.fil.poly.S.r1","STN174.3.fil.poly.S.r1","STN174.550.fil.poly.S.r1","STN174.620.fil.poly.S.r1","STN198.1487.fil.poly.LG.r2","STN198.150.fil.poly.LG.r1","STN198.20.fil.poly.S","STN198.300.fil.poly.S.r1","STN198.376.fil.poly.S.r2","STN198.750.fil.poly.LG.r1","STN20.175.fil.dura.r1","STN20.175.fil.dura.r2","STN20.25.fil.dura.r1","STN20.25.fil.dura.r2","STN20.499.fil.dura.r1","STN20.499.fil.dura.r2","STN22.150.fil.dura.r1","STN22.150.fil.dura.r2","STN22.2.fil.dura.r1","STN22.2.fil.dura.r2","STN22.250.fil.dura.r1","STN22.250.fil.dura.r2","STN22.325.fil.dura.r1","STN22.325.fil.dura.r2","STN22.465.fil.dura.r1","STN22.465.fil.dura.r2","STN22.610.fil.dura.r1","STN22.610.fil.dura.r2"
"Seq1",0.00266776113277242,0.00297975363822598,0.0241226233352877,0.0194565695530065,0.050850989927058,0.0572012257405516,0.0422132397803539,0.0232730873978708,0.00350934465028973,0.00288290498681224,0.0455002153007033,0.0569554110543428,0.102631291625723,0.0919307384363093,0.0402204116234164,0.0522608380380173,0.0271591275879559,0.0534666741158724,0.0383047210300429,0.0416945586688343,0.0476533141440793,0.0756843800322061,0.0910025985275011,0.120418558299192,0.0564414072386738,0.0719704908412625,0.0100095497471085,0.00988550832184883,0.0864290748011678,0.102037629791553,0.0790322580645161,0.0788488074117879,0.109042107029022,0.101890485756967,0.0673646779928882,0.0861598617804856,0.0744976677430929,0.0677226381729937,0.05214527490623,0.0747049227521351,0.0138516368446192,0.0142821526516366,0.00600194429181284,0.00610208891615278,0.0561016320474777,0.0804460157737286,0.00438358026369444,0.00542779602913869,0.0214886479653848,0.0232636466427695,0.0583832335329341,0.0630003480682214,0.074366019548669,0.0752623826183023,0.0911485774499473,0.0870527480634452,0.0956484479146829,0.0875618643606896,0.0845912111689248,0.0691961109793692,0.094980926664095,0,0.0158735452029213,0,0.0293691623795015,0,0.00644384648066846,0,0.0401996961146082,0.277929447031743,0.376171897746462,0.433457389174165,0.250021794089443,0.438995009464808,0.282224825372033,0.0448259860788863,0.048849104859335,0.000899838649621447,0.00161420500403551,0.00415405918252218,0.199580730726448,0.190919165799107,0.0124605615240225,0.184743124026985,0.215945611866502,0.0692055977163545,0.0758659040355894,0.00996173025629131,0.0198772606310759,0.00193253190098616,0.0279683377308707,0.0111878628639234,0.0369609856262834,0.0022252941771469,0.00298355015589722,0.00241949830990927,0.00171174255391989,0.051006711409396,0.0048426757665479,0.00164744645799012,0.00690262887354971,0.016011222367339,0.0899280575539568,0,0,0.00045709410043881,0.000571387758017284,0.0007997067741828,0.000690051753881541,0.0699135899450118,0.191481682006858,0.0807947622078749,0.128421978881502,0.24624349635796,0.316648781235628,0.117020670804624,0.0838526465252031,0.113811892916371,0.136907429753491,0.0841978744939271,0.0991686065846358
"Seq3",0.532584796693149,0.507994785431133,0.173883909875199,0.159002470138395,0.052518235498437,0.056224186170449,0.197452715070165,0.200132045885945,0.39212165728121,0.397319511746304,0.0769819625855222,0.0735020901068277,0.0744622775412163,0.0671393430762552,0.0543022653416851,0.0553685191899311,0.0515977313598008,0.0508408290965976,0.110407725321888,0.115425074113034,0.127248740705205,0.127482555018787,0.031507145950628,0.0277377920496069,0.161014089260103,0.153497925137276,0.493651186644502,0.51460298950493,0.0448504983388704,0.0422359278632212,0.0519713261648745,0.0528287009658979,0.0393110775596936,0.0380672745067738,0.171315685499802,0.16008911521324,0.0914513814137065,0.0770533127657173,0.0498124599762144,0.0444774973610978,0.346952272476761,0.354916835844285,0.394014962593516,0.360442966454654,0.025129821958457,0.0270329072613544,0.463062389560962,0.452506784745036,0.164519422431815,0.177159766160656,0.0502857920522591,0.0537765402018796,0.0217107337507319,0.0212207696556804,0.0739594309799789,0.0677486782245174,0.0236145496095982,0.025507151792027,0.0257585904899284,0.0196348114773536,0.0189447516180189,0.318084114044693,0.355520725647781,0.159554351714622,0.195644573198142,0.374037751766319,0.480951706557145,0.126887973507794,0.156414152376818,0.078421926021091,0.0560181680545042,0.0317991237574787,0.06738732455758,0.0606780244364137,0.0812182741116751,0.0705336426914153,0.0638107416879795,0.0566898349261512,0.0521926284638149,0.372634494076619,0.142808248481218,0.154750310642442,0.230959702863533,0.280564119783876,0.25778739184178,0.24096637192787,0.269979345408325,0.12670764235185,0.144082984847662,0.0888112086850257,0.177625329815303,0.274229774971395,0.04072553045859,0.2993357834047,0.264111385872487,0.278811599359545,0.311982197877439,0.0840268456375839,0.21729311988759,0.257270618296742,0.146130121897489,0.0858124123252552,0.0431000654022237,0.233760094544022,0.232554240300459,0.291473671379815,0.292943361188487,0.054646629569158,0.0549357868506805,0.171379942393297,0.0380797689947663,0.151404928616896,0.0375928822839265,0.0208116545265349,0.0165184730952016,0.0211263595467229,0.0239015539954248,0.0218905472636816,0.02313394242372,0.0259994939271255,0.025673428666445
"Seq4",0.00495441353229164,0.00595950727645196,0.16957031577184,0.160592833214902,0.378047933310177,0.356752675756095,0.157374923733984,0.13794668647355,0.00448869664571942,0.00573514077163712,0.290608104875365,0.276474686483976,0.270498962768861,0.318767182752134,0.353647623981538,0.352203863883566,0.345460414072947,0.333594055533829,0.289163090128755,0.265707181792101,0.248740705205085,0.254535695115405,0.315504547423127,0.319898128667922,0.241921876318232,0.250618267175253,0.0313373182895342,0.0318827520407082,0.312342696063626,0.291162463892576,0.302090800477897,0.337341481043433,0.322485041659677,0.349611085355174,0.267483208218096,0.270210057288351,0.277493720846789,0.279318258775725,0.317720245174275,0.333701180308991,0.115736488224272,0.128005128753072,0.0757851134874678,0.0780679947050657,0.292006676557863,0.293554528147947,0.0228014136196819,0.021282673903728,0.190821138606641,0.186470036326894,0.291916167664671,0.290462930734424,0.414891221116166,0.388832627508746,0.279373024236038,0.287347842124677,0.294943820224719,0.306520911513569,0.32023079697079,0.322883566516481,0.299429942994299,0.0834651417447378,0.12295327975456,0.198344150866254,0.209080465511213,0.02029948328588,0.0310508426568475,0.220902996526936,0.19917516822227,0.136930571168567,0.119664589763,0.0934658689405003,0.133379827390812,0.0819824470831182,0.108985205431906,0.27860788863109,0.245907928388747,0.2197778329403,0.211259079903148,0.0492845786963434,0.126165825275948,0.126910031232159,0.206717520667758,0.0670350132787936,0.061619283065513,0.0189375478660447,0.0048061646012075,0.00454598167691059,0.12952805083365,0.00144939892573962,0.131116974494283,0.0600288172225283,0.337183436002738,0.16028861391146,0.00110203203956564,0.147482654331969,0.108456008216364,0.17758389261745,0.123500777839113,0.0154322025350503,0.287854310471435,0.237556232767378,0.190582079790713,0.12357691550128,0.12715871365816,0.0142308629936616,0.0146060995643168,0.317250341541435,0.322790875982365,0.234005411538797,0.313240690609397,0.213421842320633,0.321861556511537,0.284869927159209,0.243292963360417,0.313080120722055,0.339749152007573,0.297607202084814,0.304947422858128,0.355579453441296,0.33175922846691
"Seq5",0.308991234499135,0.307207279112459,0.0317865817907697,0.034818800121815,0.0263980548801667,0.0315317315805836,0.0983450274557657,0.105059008005282,0.404690007889224,0.388272097160032,0.0234916989617722,0.0234556432884347,0.0347745387050988,0.0345825495586746,0.033344322516837,0.0237737608121407,0.0333840549638032,0.026984747751271,0.0168454935622318,0.0182652768480444,0.0243863436475574,0.0249597423510467,0.00265266349068861,0.00177167534049385,0.0256896988104277,0.0290480781322044,0.240370671665547,0.220157956111523,0.00634249471458774,0.00558201264735733,0.00609318996415771,0.00637361193245285,0.00626293127551306,0.00443002111986813,0.0298301066772027,0.0300991179412567,0.0135450304987442,0.0139960118890854,0.00718141066691062,0.00738892620669801,0.12088033214535,0.102040816326531,0.162855572932077,0.16068834145869,0.00324554896142433,0.00331792221920044,0.303758325404377,0.322211112698186,0.0534785356604599,0.060240094305579,0.00714480130647795,0.00835363731291333,0.000945903337687492,0.000506352421285214,0.0152133825079031,0.0163531292266076,0.00109502951818701,0.00119649752542557,0.000875792076657565,0,0.000728644293000729,0.355071582106501,0.180644946143329,0.112485306894261,0.0627840767194446,0.45378572181799,0.303498088089506,0.0739843308294968,0.0450184501845018,0.103099405813393,0.0816980143248122,0.0290196447920102,0.0422805335193096,0.205472379969024,0.239880255108681,0.0116937354988399,0.00946291560102302,0.0149559389350875,0.0173527037933818,0.160059490230268,0.0887310687088218,0.087315713470128,0.0745636806581732,0.10210934399707,0.102472187886279,0.361832486249391,0.310414680648236,0.169581352197611,0.13278661815022,0.244380026714412,0.0317678100263852,0.0460227995084121,0.00752908966461328,0.0202973802218551,0.251451456832599,0.076641167052126,0.114720985963711,0.0385234899328859,0.0239624629899132,0.107487476044784,0.0322367454839183,0.0451313307212306,0.0397645519947678,0.10608627142013,0.121357432681667,0.573622623110678,0.565566745232483,0.0242577721502116,0.0288288288288288,0.0799511215850572,0.00372977200264693,0.0928889697190143,0.00513296832225264,0.00166493236212279,0.00195462210639276,0.0015374978645863,0.00134101128027136,0.0015636105188344,0.000896397172901224,0.00132844129554656,0.00106418357166611
"Seq6",0.0278502535838879,0.0288663633703142,0.126224976966245,0.124725070212838,0.0418895449808961,0.0440556024337167,0.119356314826113,0.121482215069737,0.038602791153187,0.0397779549776115,0.0636811635806899,0.0647352531351602,0.0519707391636642,0.0520426373414364,0.0400320256204964,0.0449577873310198,0.0470788951906672,0.0422928655232136,0.0591738197424893,0.060485798986325,0.061725433757096,0.0600644122383253,0.0239281074058034,0.0244159007861809,0.081076520712056,0.06941358930293,0.0537261698440208,0.055019612000424,0.0305043793415886,0.0292762901085174,0.0351254480286738,0.0313424009461857,0.0303640328803892,0.0270437335805903,0.0655077044646385,0.0501955078657816,0.046286329386437,0.0482335678543211,0.0358613118653371,0.0355532098646963,0.0868574787816438,0.091818926523489,0.101018639841075,0.111871630129468,0.0303227002967359,0.0215936905085668,0.0548457251597118,0.0504499357234681,0.0960668967864262,0.0978660957009166,0.0302123026673925,0.0351548903585103,0.0208098734291248,0.0209445774258884,0.0371443624868282,0.0301856633468585,0.0202342410969339,0.0221352042203731,0.0192674256864664,0.0234289779464074,0.0182161073250182,0.0460721093401468,0.05749157968453,0.0718556753717995,0.077368762799061,0.0507223452493937,0.0665274040504178,0.0695420402229222,0.0656826568265683,0.0321181949574434,0.0246316892796832,0.0270410326471004,0.0649463865399704,0.0184477714679057,0.0272029155277886,0.0492807424593968,0.0437340153452685,0.0349075338215217,0.0405232714554748,0.110313349402533,0.118892786857192,0.114618665412903,0.113143496146012,0.0988430660276565,0.0950556242274413,0.0621040172665878,0.0858357165554496,0.103884958831033,0.0482811057405094,0.027027027027027,0.0628671943711522,0.0774250964105607,0.0195071868583162,0.182743855153579,0.0388130308568971,0.225048923679061,0.243238616912016,0.129530201342282,0.199001354945551,0.0716471102444273,0.17278601850492,0.187007207468679,0.122694571615435,0.126255662792988,0.131920458737132,0.0329107752315943,0.0256767373759017,0.0305887841124921,0.0352309756565076,0.0718338133891944,0.0244841484689888,0.0672910793852869,0.0214606961282753,0.0157752341311134,0.0163651694005826,0.0239735778144753,0.0246115011438037,0.0226486614546316,0.0228926047233236,0.0259994939271255,0.0203525108081144
"Seq7",0.0189381724370438,0.0226408066618778,0.0734567384203032,0.104287212804115,0.0456755817992358,0.0512945774303859,0.0642541183648566,0.078443509119419,0.00924943551239152,0.0162240078513157,0.052772594612698,0.0606130980027868,0.0459111256687411,0.0346307818453673,0.0497339047708755,0.0484280312839903,0.0646931341356573,0.0662048159115034,0.066255364806867,0.077651334034618,0.071439993603582,0.0790660225442834,0.0579255088783023,0.0573026242940981,0.0682105796001012,0.0666890220899526,0.0264209670003183,0.027112265451076,0.066143159166415,0.0691310797095792,0.0672043010752688,0.0494776266508969,0.053067158754124,0.057178179570391,0.0524298696167523,0.0609711739565336,0.0674560459275206,0.069603822566688,0.0607904125880523,0.0463007388926207,0.0558107065437043,0.0503615058588881,0.0553700494526396,0.0502050172731088,0.102188427299703,0.0870274680446016,0.0318404240859046,0.0300242822453935,0.119597452477029,0.104361633026199,0.0875748502994012,0.0739644970414201,0.0189180667537498,0.0224636346897441,0.0617096944151739,0.0699618836837575,0.0680822700438012,0.0721161690324686,0.066199577559116,0.0619871946881669,0.0716214478590716,0.0369469116275297,0.0533898022476406,0.0947002606429192,0.0757204934818441,0.0155541495307392,0.0241467214275598,0.089330425652209,0.0902105491643152,0.025908677265671,0.0225353752984336,0.0550713713666557,0.0461162932612675,0.00977456547926347,0.0127988199054189,0.0696055684454756,0.118925831202046,0.105001861735137,0.101459510357815,0.111339043027848,0.0387182339351416,0.0350606172549283,0.0418547066576141,0.0411184712598065,0.0399258343634116,0.0559075402074775,0.0485780108039403,0.0409254319842282,0.0502905555857275,0.0694858896751641,0.12429199648197,0.195957113192355,0.0938569472963724,0.0977443609022556,0.0222825502634125,0.0370040917986123,0.0269428277986991,0,0.0642595473478195,0.198668594291094,0.0356880599206932,0.00561118366952063,0,0.0856805199921213,0.052345662452634,0.0134995124329595,0.0184986786658096,0.0861017626870148,0.088709986582327,0.0230863227721044,0.0308006978283102,0.0345094116577248,0.0321177160735237,0.0360041623309053,0.0242986355971179,0.0519902055691589,0.052457205963556,0.0562899786780384,0.0436131701430788,0.0285931174089069,0.0506817426005986
"Seq16",0.000322476620445018,0,0.00196833905687244,0.00236862585862687,0.00642584230635637,0.00581782653106542,0.000838926174496644,0.000784022447800611,0.000163225332571615,0.000153346009936821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454669455305993,0.00130068173663437,0,0,0,0,0,0.000464939346548882,0.000419720401640138,0,0,0,0,0.000729252759006272,0.000529266004282243,0.00095264017419706,0.00156630699617125,0.0010359893698482,0.00128889707236236,0,0,0,0,0.00103034361959714,0.00298790609437989,0.00364322146500364,0,0,0.000459958092707109,0.000649318215873333,0,0,0,0,0,0,0,0.00645105047511115,0.000929272070211668,0.0016486615471387,0,0,0,0.00010088781275222,0,0,0,0,0,0,0,0,0.00172793691290734,0,0,0,0,0,0,0,0,0,0.000939597315436242,0.000401465348522106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq17",0.00281434141479288,0.00303296352462287,0.0164167853254041,0.0114709166582073,0.00347342827370615,0.00390815828041036,0.0106391092129347,0.0108525212511348,0.00598492886095922,0.0051524259338772,0.00550212908473279,0.00429633070134696,0.0048586090184518,0.0035691892152607,0.0033438515518297,0.00290050240845289,0.00318162954765528,0.00318453544890776,0.00525751072961373,0.00578559816390934,0.00747581354441513,0.00697799248523886,0.00043308791684712,0.00055364854390433,0.00565257740656374,0.0060359642872113,0.00420896261450854,0.00421392982084173,0.000805396154233363,0.00105394644390663,0.000955794504181601,0.00151126880872593,0.00111838058491305,0.000566630608355226,0.00501777953378111,0.00495589706283532,0.00435055615357015,0.00417622935400128,0.00169243436099167,0.00153536128970348,0.0118308410184811,0.0106849022331446,0.0186398410752779,0.0270235366286766,0,0.000108784335055752,0.00761179828734539,0.00708470218540209,0.00651465798045603,0.00854042870546347,0.00142896026129559,0.00243647754959972,0,0,0.00131717597471022,0.000737735153080044,0.000333269853361265,0.000489476260401371,0.000412137447838854,0.000379416646905383,0.000257168574000257,0.00413675629638642,0.00210091039450429,0.0035774518321664,0.00234753508815743,0.00664346725719709,0.00293867724118397,0.00500767304741136,0.0025179075320165,0.00556715379262352,0.00395970418680487,0.00466387148443021,0.00653822683288292,0.00326966098778179,0.00381795305653174,0.00157772621809745,0.00127877237851662,0.00313392081419883,0.00312752219531881,0.00512846812657059,0.0186104218362283,0.0197803673976559,0.0101042373896721,0.0147135138435239,0.0160074165636588,0.00738007380073801,0.00452812202097235,0.094445088716224,0.0121110085265845,0.0391906101685282,0.0173790677220756,0.032758401491715,0.00094113620807666,0.00583296807040022,0.0249973121169767,0.00722291407222914,0.0104416295789113,0.0195973154362416,0.0224318763486727,0.00877517399051878,0.00389190776912909,0.0136409809896967,0.028646173969915,0.0253299192436478,0.0307836759330673,0.00176743052169673,0.00232126276694522,0.0035320382526407,0.0037569484377995,0.00720083791568473,0.000240630451783673,0.0100481949622624,0.00131990614000782,0.000208116545265349,0.000766518473095202,0.000113888730710096,0.000552181115405853,0,0,0.000379554655870445,0.00033255736614566
"Seq19",0,0,0.0108468045899992,0.00829019050519406,0.0696422368878083,0.077719056712706,0.0163971934106162,0.0138648180242634,0.000299246443047961,0.0004293688278231,0.0499497631692263,0.0576521133302369,0.0644175128289114,0.060483287512661,0.0592944944190647,0.0574921013104056,0.0563471203947065,0.062517459075926,0.0415236051502146,0.0433680787988907,0.0449748141041017,0.0341384863123994,0.076764833261152,0.0701472705126786,0.0329874293427824,0.0327367229743891,0.00307714073497683,0.00262376762429768,0.0540118795932749,0.0373175111249902,0.0645758661887694,0.0667586569419804,0.0682212156796958,0.0663472930510483,0.0275780323982616,0.0320996635446031,0.0422497308934338,0.0362692351104255,0.0539749336748696,0.0579119086460033,0.00815666678913914,0.00744381522242405,0.00105668033306564,0.00235689148613308,0.0676928783382789,0.060103345118303,0.000679624847084409,0.000514212255392087,0.0229471534833973,0.0185483676955277,0.0609689711486119,0.0630003480682214,0.0220710778793748,0.0275731909408949,0.0228530031612223,0.0253903848518382,0.0347552847076747,0.0368738782835699,0.0475503580444078,0.062271757173346,0.0652779563670653,0.00616457801030133,0.00563577550271784,0.018756068891501,0.0148843714100195,0.000817251924496467,0.00159325874522022,0.0249575963169372,0.0235294117647059,0.0139178844815588,0.00838525592499854,0.0290196447920102,0.0216197367273995,0.00660815694372741,0.00629094537723979,0.0374013921113689,0.0294117647058824,0.0521906416780439,0.0623486682808717,0.000871839581517001,0.0130059039958929,0.0180340531282534,0.0212468549063461,0.00189260966451967,0.00203955500618047,0,0,0.0021106343499942,0.0162928365828491,0.000227356694233666,0.0279331574318382,0.00440733991609103,0.0790554414784394,0.00195556154961395,0,0.012133072407045,0.0117767887709688,0,0.00278516585537211,0,0.0170362755176972,0.012431674164369,0.0110529758011772,0.00575142800866654,0.00459407799872573,0.000883715260848367,0.000642811227769445,0.0623438072706674,0.0513705194556258,0.0371388670681679,0.0709859832761836,0.0346912794398472,0.0729859210011733,0.0652653485952133,0.0759619806837345,0.0933318148169239,0.081249506981147,0.071499644633973,0.0782968453714877,0.0852732793522267,0.0724309943465248
"Seq25",0.00184691155345783,0.00244765477425706,0.0186782812630874,0.0187459817954184,0,0,0.0188377059182428,0.0235619377733762,0.000707309774476999,0.0008587376556462,0,0,0,0,0,0,0,0,0.00847639484978541,0.00927608300659845,0.00947469417126409,0.00869565217391304,0,0,0.0100396524086729,0.010604853921281,0.00258196866268171,0.00270327573412488,0,0,0,0,0,0,0.0110628210193599,0.00841138492316086,0.00583064226767133,0.00650889800218217,0,0.00398234334516841,0.0273725980085976,0.0319478576771023,0.0319117460585824,0.0349336518903561,0,0,0.00105341851298083,0.000857020425653478,0.0206621615051777,0.017465778141314,0,0,0,0,0,0,0,0,0,0,0,0.004623433507726,0.00847033714609664,0.0212091787192722,0.0185305429299236,0.00166086681429927,0.00290327149129019,0.0197883854292868,0.0130236596483612,0.0125260960334029,0.013276655214581,0.0103641588542893,0.0190044459942464,0.00368267079676476,0.0079396069243785,0.00890951276102088,0.00856777493606138,0.00713665135906665,0.00840731772935163,0.0147187035232576,0.0321724993582613,0.0292843469792121,0.0317904069651344,0.0432247626606429,0.0419653893695921,0.000417740026456868,0.000158881474420083,0.00248173489504813,0.00771194264921523,0.000454713388467332,0.0236059806508355,0.0412340551765055,0,0.0432246535621565,0.000591334265132781,0.0116349404020637,0.00636768230058199,0,0.0811963667385959,0.0109941835053626,0.00756351887208107,0,0,0.0552688595627339,0.0663290969451058,0.00207215992198927,0.00260695664595386,0,0,0.00829187396351575,0,0.00695644266618169,0,0,0,0,0,0,0,0,0
