"","STN002.200.pre.poly.3.LG","STN002.517.pre.poly.3.LG","STN004.30.pre.poly.3.LG","STN004.300.pre.poly.3.LG","STN004.555.pre.poly.3.LG","STN012.30.pre.poly.3.LG","STN012.300.pre.poly.3.LG","STN012.730.pre.poly.3.LG","STN014.300.pre.poly.3.LG","STN014.40.pre.poly.3.LG","STN014.460.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN056a.100.pre.poly.3.LG","STN056a.310.pre.poly.3.LG","STN056b.30.pre.poly.3.LG","STN056b.350.pre.poly.3.LG","STN056b.390.pre.poly.3.LG","STN056b.410.pre.poly.3.LG","STN056b.90.pre.poly.3.LG","STN068.257.pre.poly.3.LG","STN068.30.pre.poly.3.LG","STN068.90.pre.poly.3.LG","STN078.300.pre.poly.3.LG","STN078.440.pre.poly.3.LG","STN089.300.pre.poly.3.LG","STN089.500.pre.poly.3.LG","STN106.200.pre.poly.3.S","STN106.318.pre.poly.2.LG","STN115.300.pre.poly.3.S","STN115.35.pre.poly.3.S","STN115.730.pre.poly.3.S","STN12.3.300.pre.poly.3.S","STN12.3.732.pre.poly.3.S","STN132.100.pre.poly.3.S","STN132.200.pre.poly.3.S","STN132.30.pre.poly.3.S","STN132.305.pre.poly.3.S","STN132.505.pre.poly.3.S","STN146.201.pre.poly.3.S","STN146.250.pre.poly.3.S","STN146.268.pre.poly.3.S","STN146.30.pre.poly.3.S","STN151.2.500.pre.poly.3.S","STN151.2.600.pre.poly.3.S","STN151.2.673.pre.poly.3.S","STN153.548.pre.poly.3.S","STN174.280.pre.poly.3.S","STN174.550.pre.poly.3.S","STN174.620.pre.poly.3.S","STN181.340.pre.poly.3.S","STN181.757.pre.poly.3.S","STN20.25.pre.poly.3.LG","STN20.499.pre.poly.3.LG","STN22.250.pre.poly.3.LG","STN22.325.pre.poly.3.LG","STN22.465.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq1",0.103948110547095,0.113211777013899,0.0205701435280111,0.146766602754053,0.040282033736947,0.00876902713434811,0.253168287651046,0.381931015874444,0.300409988818487,0.0080091533180778,0.500774567252644,0.618541465355539,0.423176823176823,0.422936692078223,0.598249409913454,0.663972876317867,0.0142125742371493,0.602586880818705,0.657503915321056,0.743213267138481,0.488820089439285,0.563107620462747,0.00745542949756888,0.0220271102895872,0.0212945879458795,0.473461863430371,0.738208135762416,0.710422728050659,0.389323452724029,0.358406255818283,0.0719033232628399,0.0113639568000451,0.212843833185448,0.0635259356533158,0.137839652309106,0.409551374819103,0.75983446932814,0.73538788522848,0.0113826073759296,0.499514344602118,0.009091269998809,0.0455975895547372,0.0622261174408414,0.00306877281390316,0.448849329507525,0.448499955488293,0.714830846337852,0.509580309488154,0.0359025443074752,0.0467250730079266,0.0404246631278073,0.0150108736010184,0.0291047771979125,0.0639658848614073,0.460098453858421,0.818495790804527,0.714457523962243,0.702076397406694,0.630889837465113
"Seq3",0.040721940214326,0.0109849050963981,0.174416297374165,0.0364301899947708,0.00139826852705798,0.416694242223693,0.102858826996758,0.0217205558303728,0.04890048453224,0.191387559808612,0.0136054421768707,0.0117660433126812,0.0115884115884116,0.0111368909512761,0.0193253343823761,0.0119362779248525,0.458242883473275,0.0552910240921043,0.0253820813306691,0.0223935776909264,0.0392844857241142,0.019231585650605,0.57257698541329,0.53943314849045,0.370233702337023,0.0691297334664721,0.00358747192413277,0.00350847167550916,0.0812405653904213,0.02811394526159,0.277945619335347,0.249922454389082,0.0336623779946761,0.275607353906763,0.069078831136709,0.044862518089725,0.00248296007789679,0.0106269925611052,0.0282288662923054,0.00606476984672242,0.466751359720513,0.410780046869769,0.342243645924628,0.338727912911458,0.0210809861216841,0.02359120448678,0.00717621596992824,0.0344046384825097,0.0605985140912298,0.0454735085523571,0.0382298897509187,0.235241075690871,0.153017529773853,0.358208955223881,0.01664008874714,0.00237441795923402,0.00440978169758373,0.00464342036096022,0.0057051387292727
"Seq4",0.0020868584320361,0.00175609027051263,0.0015874065745089,0.00258970591897209,0.00235028114122512,0,0.0100206307102859,0.0156046229257544,0.00737979873276183,0.00104014978156855,0.00895803866100896,0.00835559597567214,0.0157842157842158,0.0181637388133908,0.0114083398898505,0.0182063071849891,0.000819168543927913,0.0126501314760856,0.0115569476697089,0.0147353966409633,0.0108703130374957,0.0163871789428996,0,0.00308071472581639,0.00338253382533825,0.0103694600199708,0.0129460943349139,0.00885675166866336,0.00988060930424043,0.0143362502327313,0.00811394044022443,0.000253785635733018,0.0202417923691216,0.00536222368133071,0.0113423553938023,0.044862518089725,0,0.00797024442082891,0.0387767491273334,0.0135035891118429,0.00111159633173211,0.0033478406427854,0.00632277450857644,0.000290725845527667,0.0146981319903964,0.0211430606249444,0.0116755894748832,0.0153976116422839,0.00556178143029096,0.00512545443709399,0.00331768068599428,0.003235559327428,0.00428208216245149,0,0.0171254246689316,0.00592062659964846,0.0105324538066256,0.0109076572630103,0.0138318831062223
"Seq5",0.00693739424703892,0.00541772530264534,0.203518751240161,0.0133469458900869,0.000595007883854461,0.22005294506949,0.0555555555555556,0.00845437783873724,0.0987700335445397,0.546390680257957,0.0109112952111538,0.0161996248507929,0.0126873126873127,0.0101425256877693,0.0103756884343037,0.00436579815150248,0.225107515871391,0.0503873214412622,0.0301884754549873,0.0253512200274638,0.0356381148950808,0.0100191042241562,0.154489465153971,0.0617683302526186,0.0452029520295203,0.0192795145556494,0.00140379336161717,0.000812938558959439,0.0267599835323178,0.022342208154906,0.0246007768666379,0.196119899613682,0.0164707187222715,0.0380280148829065,0.0205646443588566,0.0578871201157742,0.00150925024342746,0.0733262486716259,0.0108514190317195,0.00409845774798038,0.101750764222478,0.0465349849347171,0.0413797420808814,0.24579255095778,0.0108332845347543,0.00431763553814653,0.0050404374074496,0.0177782897515647,0.0460714730419624,0.059121520948805,0.0710494079216007,0.0328329708799661,0.0296400374682189,0.326226012793177,0.0128267350759204,0.00033920256560486,0.00116622325886512,0.000876117049237778,0.001559678213758
"Seq6",0.0431472081218274,0.00941563293976984,0.110457040809577,0.0203690330934535,0.00130901734447981,0.257197220383852,0.0751547303271441,0.0136709088456177,0.0485277674245248,0.0781152485957978,0.0155586987270156,0.0111407946342295,0.00949050949050949,0.00835266821345708,0.0109166011014949,0.00761692443453625,0.19340569322138,0.0235946272475304,0.0123670140951558,0.0128868701806274,0.0213966288269694,0.00806622797707493,0.208298217179903,0.180991990141713,0.251614391143911,0.0359474614025655,0.0030259545794859,0.00158309087797364,0.0594208865102237,0.0171290262520946,0.222011221406992,0.250683811296281,0.0254547471162378,0.247537754432042,0.0797498321614077,0.0188133140376266,0.00155793573515093,0.00478214665249734,0.011686143572621,0.00483286347160693,0.243518996387312,0.190492132574489,0.148366094904219,0.22834900022612,0.0233647596181999,0.0166473782604825,0.00412917188745871,0.0245747417732212,0.171834142697049,0.118004648667978,0.0712535728868926,0.344931841086299,0.17837548507962,0.17910447761194,0.00818137696734383,0.00120262727805359,0.00112977878202558,0.001182758016471,0.00135445739615827
"Seq7",0.0011844331641286,0.000560454341652967,0.000529135524836299,0.00102094175651784,0.00107101419093803,0.000330906684315023,0.00235779546124374,0.00296802626253541,0.00380171449869549,0.000312044934470564,0.00377180575200377,0.00335360654805889,0.0040959040959041,0.00298309579052038,0.00231117230527144,0.00399424086201291,0.000245750563178374,0.00490370265084216,0.00264621698979316,0.00290482729481356,0.00454076367389061,0.00335385268520484,0.000388978930307942,0,0,0.00506951378754129,0.00340029947591714,0.00333732671572822,0.0048030739673391,0.00521318190281139,0.00319378506689685,0.000253785635733018,0.00232919254658385,0.00114904793171372,0.00187272534539416,0,0.00233690360272639,0,0.00910608590074366,0.00457226789225557,0.00103219659375124,0.00120522263140275,0.00219106047326906,0.00277804696837549,0.00409908063477192,0.00222558532894151,0.00193643922998064,0.0037630073340245,0.00203378574689744,0.00143035937779367,0.00102082482645978,0.00106083912374688,0.000535260270306436,0,0.00547736254593358,0.00181935921551698,0.00284266919348373,0.00223409847555633,0.00262682646527664
"Seq16",0.0282007896221094,0.148894036765805,0,0.471426081326726,0.536845863207687,0,0.0156203949307398,0.0205513333633134,0.0105106224375699,0.000624089868941127,0,0,0,0,0,0,0,0,0,0.000422520333791064,0.00412796697626419,0,0,0,0,0.00637529764190798,0.00343149488395308,0.00415026527468766,0.00205846027171676,0,0,0,0.00166370896184561,0,0,0,0,0.00425079702444208,0.00599483988465625,0.000355357608206392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq17",0.0740552735476593,0.0149454491107458,0.0519214233745618,0.0237057695659752,0.00264778508315235,0.0217157511581734,0.091806660772178,0.020731213742861,0.0995154677599702,0.0905970459746203,0.0435778271704721,0.0237026089922128,0.0151848151848152,0.0222074908849851,0.0574350904799371,0.00603780595420556,0.0348556215441327,0.00845711036884372,0.00707458011556948,0.00691877046582867,0.108840729274166,0.0168117172574825,0.026385737439222,0.100739371534196,0.203413284132841,0.023043244488824,0.00230846019465935,0.00154030463802841,0.0719088788253053,0.048780487804878,0.0705222270176953,0.212192989876773,0.0367125110913931,0.111512365944408,0.0424366630154411,0.0130246020260492,0.0057935735150925,0.0170031880977683,0.0176050994081044,0.0052592926014546,0.0687601730914288,0.0724472715098761,0.0954676349067234,0.0893174403204445,0.0200269368155999,0.00796759547761061,0.00321790636746782,0.0163191644587797,0.27418752334703,0.196853209368854,0.254134340547162,0.13260489046836,0.0546634551050448,0.0255863539445629,0.0158774180128961,0.00101760769681458,0.00138489011990233,0.00122656386893289,0.00225742899359711
"Seq19",0.000676818950930626,0.00067254520998356,0,0.000821733608904604,0.000892511825781692,0,0.000442086648983201,0.00382245806538652,0.00245993291092061,0,0.00363709840371792,0.00233047234695618,0.0037962037962038,0.00464037122969838,0.00398308418568057,0.00459802145743347,0,0.00234524909388103,0.00388831884214506,0.00242949191929862,0.00233918128654971,0.0030991296964551,0,0.000308071472581639,0,0.00276518933865888,0.00364986274020464,0.00325175423583775,0.00356799780430904,0.0044684416309812,0.000863185153215365,0,0.00388198757763975,0.00125848106806741,0.00293275855976821,0,0.00175267770204479,0,0.0113067233267567,0.0033877425315676,0,0.000736524941412789,0.000563415550269187,0,0.00228377349651578,0.00356093652630642,0.00256293427497437,0.00464616211649964,0,0.000476786459264557,0.00051041241322989,0,0.000334537668941523,0,0.00547736254593358,0.00144932005303895,0.00338933634607675,0.00389872086910811,0.00303726810047611
"Seq25",0.0195149464184997,0,0.00125669687148621,0.0187255658756443,0,0,0.0776598880047156,0.00575617214552323,0.033544539694372,0,0,0,0,0.00603248259860789,0.021587332808812,0.00343690492777855,0.000860126971124309,0,0.00448236755413944,0.00306327241998521,0.0493980048159615,0.010273827212906,0,0.00878003696857671,0.0309809348093481,0,0,0,0.0418553588582407,0.071122695959784,0.0242555028053517,0,0.0144742679680568,0.0248413219522872,0.0136390940249461,0.0434153400868307,0.00900681596884128,0,0.0478828350280771,0.0236431261993319,0.0248124181190202,0.0401740877134248,0.0508952047076499,0,0.0121801253147508,0.00409507700525238,0,0.00460776408247898,0.0590627983231644,0.0289647774003218,0.0164352797060025,0.0504959422903517,0.00461661983139301,0,0,0,0,0,0
