"","#NAME","STN22.465.pre.poly.3.LG","STN22.465.fil.dura.r1","STN22.465.fil.dura.r2","STN22.325.pre.poly.3.LG","STN22.325.fil.dura.r1","STN22.325.fil.dura.r2","STN22.250.pre.poly.3.LG","STN22.250.fil.dura.r1","STN22.250.fil.dura.r2","STN22.150.pre.poly.3.LG","STN22.150.fil.dura.r1","STN22.150.fil.dura.r2","STN056a.310.pre.poly.3.LG","STN056a.310.fil.dura.r1","STN056a.310.fil.dura.r2","STN056a.170.pre.poly.3.LG","STN056a.170.fil.dura.r1","STN056a.170.fil.dura.r2","STN056b.410.pre.poly.3.LG","STN056b.410.fil.dura.r1","STN056b.410.fil.dura.r2","STN056b.390.pre.poly.3.LG","STN056b.390.fil.dura.r1","STN056b.390.fil.dura.r2","STN056b.350.pre.poly.3.LG","STN056b.350.fil.dura.r1","STN056b.350.fil.dura.r2","STN056b.190.pre.poly.3.LG","STN056b.190.fil.dura.r1","STN056b.190.fil.dura.r2","STN068.190.pre.poly.3.LG","STN068.190.fil.dura.r1","STN068.190.fil.dura.r2","STN146.201.pre.poly.3.S","STN146.201.fil.steri.r1","STN146.201.fil.steri.r2","STN146.160.pre.poly.3.S","STN146.160.fil.poly.S.r1"
"1","K00124",1577.98,5992.72,7650.16,2230.75,5199.25,3502.5,1486.4,5564,5461.39,1989.35,3605.27,3912.2,2771.18,5402.09,5192.6,2123.52,4717.15,3478.18,1870.28,4310.41,5049.25,2260.95,4198.75,4122.73,1944.81,5058.5,6241.27,2871.97,4176.28,3844.02,703,4794.95,5664.91,2342.1,2857.8,3817.1,2497.8,965.3
"2","K00184",3732.67,6976.65,8930.66,4642.65,6065.84,4313.66,3045.67,6077.49,5686.16,3868.32,4563,4359.5,4404.99,6161.16,5351,4313.02,5890.98,4534.01,5559.16,5546.66,6187.34,6495.33,5828.68,4819.66,7541.32,7110.34,9067.32,5395.67,4919.5,4656.66,2194,5772.34,7463.41,2176,2925.34,3529.32,1135.33,1494.66
"3","K00196",0,0,0,6,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,14,0,0,20,4
"4","K00205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,60,0,0,0,0,0,0,0,0,0,0,84,72,0,53,62,0,0,0,0,0
"5","K00216",30.4,277.8,346.5,53,179,119,26,275.5,288.3,7,138.1,211.7,50,253.5,234.6,46.7,178.9,167.1,36,252.5,271.5,63,299,239.4,45.6,293.5,441.6,61.7,153.7,140.6,10,149.2,215,0,88.8,110.6,0,8.8
"6","K00230",293.73,674.47,793.66,332.33,535.5,329,143.6,568.33,628.97,254.9,317.77,441.2,331.4,563.67,521.27,224.8,412.57,383.6,181.63,452.33,421.17,145.63,451.5,346.73,149.63,473.83,765.1,285.1,308.86,370.77,27,419.37,581.33,18.9,213.8,238.6,40.2,102.3
"7","K00240",28674.32,43203.38,56528.32,35181.86,36270.77,26535.46,36912.17,43640.85,44262.39,26750.34,34127.7,30602.25,31251.94,37830.14,35840.82,27731.48,40546.99,31697.09,29433.26,33727.51,38841.48,29443.7,33195.16,30174.78,27526.15,39570.15,50852.03,37146.09,36960.19,36729.06,34176.83,39155.27,47992.39,31000.61,30288.82,38881.41,34656.53,20535.04
"8","K00245",111.73,83.47,215.16,185.83,97.5,50.5,129.7,216.83,168.47,110.8,183.27,157.2,256.3,203.67,150.27,394.9,368.07,200.6,196.93,158.83,198.17,245.93,208,208.73,173.33,260.83,337.1,355.5,333.53,294.27,17,196.87,276.83,42.3,166.13,166.1,38.4,13.8
"9","K00380",1626.99,4440.71,6211.49,1991.28,4056.64,2633.63,1269.5,4218.14,4309.39,946.26,2920.08,2928.75,2105.28,4221.68,3855.49,2037.05,3714.08,2748.96,1736.19,3646.88,3992.81,2274.44,3858.36,3175.53,1914.57,4175.69,5054.07,2477.13,3064.58,3053.1,831.83,3707.64,4322.52,1074.07,2569.9,3288.1,483.96,1121.83
"10","K00411",5185.5,15405.75,18930.83,6669.45,12375.4,9356.8,4253,13162.4,13045.09,4995.25,13366.3,9885.55,7296.53,13549.44,12048.55,6654.52,16518.35,12621.28,4901.35,11042.56,12920.4,6177.11,11910.2,10519.13,5259.81,13557.1,17778.57,6352.27,15184.05,14453.49,20559,14570.95,17729.51,22418.9,13800.43,17607.5,25115.3,12805.7
"11","K00435",8.66,16,12.66,23.67,6,8,2.01,33.66,5.34,0,192,8,80,13.34,11.34,810.51,258.34,172.66,60.66,20.66,17.34,93.66,16,18.66,8,8.66,47,473,260.66,262.34,26,141.34,224.66,625,756.66,872,32,287
"12","K00437",10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,76,92,8,64,53,0,56,15,14,49,49,20,0
"13","K01252",112.4,1720.8,2501.5,142,1723,1078,77,1724.5,2130.3,55,929.1,1317.7,131,1582.5,1427.6,107.7,1234.9,773.1,77,1392.5,1489.5,135,1322,1195.4,78.6,1292.5,1327.6,128.7,890.7,883.6,10,1048.2,1118,0,392.8,624.6,0,25.8
"14","K01851",59,97,138,35,99,52,28,115,164,18,72,88,17,124,99,5,83,28,14,82,69,0,51,49,14,46,60,70,53,52,0,51,78,0,0,0,0,5
