"feature","method","group1","group2","p_values","adj_method","p_adjust"
"K00124","LinDA","2","1","0.0930899852903622","BH",0.207306775753005
"K00184","LinDA","2","1","0.240351336009206","BH",0.419279552816059
"K00196","LinDA","2","1","0.674006474593287","BH",0.843179414431443
"K00205","LinDA","2","1","0.0141675479937848","BH",0.0505523871596412
"K00216","LinDA","2","1","0.358270923304735","BH",0.592089841672036
"K00230","LinDA","2","1","0.0138414144059679","BH",0.0505523871596412
"K00240","LinDA","2","1","0.443594961741188","BH",0.66645367457767
"K00245","LinDA","2","1","0.0282446645607255","BH",0.0821187469635908
"K00380","LinDA","2","1","0.135495472682654","BH",0.276269989755541
"K00411","LinDA","2","1","0.0169964750267245","BH",0.0567754591318244
"K00435","LinDA","2","1","0.188736846367799","BH",0.348608057408758
"K00437","LinDA","2","1","0.175953767236363","BH",0.328865969715583
"K01252","LinDA","2","1","0.322554323621048","BH",0.540348091706968
"K01851","LinDA","2","1","0.0797877060405245","BH",0.184286612999256
"K02003","LinDA","2","1","0.986511166385257","BH",0.987500651173494
"K02010","LinDA","2","1","0.908806894426691","BH",0.987500651173494
"K02011","LinDA","2","1","0.151708681150025","BH",0.297728286756924
"K02012","LinDA","2","1","0.0875729234973338","BH",0.198000063415509
"K02013","LinDA","2","1","0.709360323380705","BH",0.876925754100557
"K02014","LinDA","2","1","0.182098815212266","BH",0.338337443648826
"K02015","LinDA","2","1","0.81120744528957","BH",0.968275482529851
"K02016","LinDA","2","1","0.732514516485983","BH",0.894978825589878
"K02074","LinDA","2","1","0.487680887534788","BH",0.715874518522075
"K02075","LinDA","2","1","0.834516259490096","BH",0.968275482529851
"K02076","LinDA","2","1","0.0548965218720804","BH",0.140142340388888
"K02077","LinDA","2","1","0.862164670413763","BH",0.987500651173494
"K02193","LinDA","2","1","0.0382818948603044","BH",0.101868771068946
"K02194","LinDA","2","1","0.0367333505281661","BH",0.0994333798779669
"K02195","LinDA","2","1","0.0451600649077336","BH",0.11816883650857
"K02196","LinDA","2","1","0.408859961546373","BH",0.638716556843588
"K02217","LinDA","2","1","0.105900548290389","BH",0.230922028910987
"K02255","LinDA","2","1","0.223134469664608","BH",0.393619233003859
"K02361","LinDA","2","1","0.000281353529186214","BH",0.00192054365574937
"K02362","LinDA","2","1","0.902073034834729","BH",0.987500651173494
"K02363","LinDA","2","1","0.31209301769622","BH",0.529855030368767
"K02364","LinDA","2","1","0.411788199773683","BH",0.64010640954919
"K02552","LinDA","2","1","0.108900505371402","BH",0.234210675935755
"K02586","LinDA","2","1","0.00166781288658356","BH",0.00887615671842776
"K02588","LinDA","2","1","0.00118303205032022","BH",0.00675403752364635
"K02591","LinDA","2","1","0.00126192035322401","BH",0.00695163141951472
"K02592","LinDA","2","1","0.00462687408091369","BH",0.0213652714912779
"K02636","LinDA","2","1","0.96369903518334","BH",0.987500651173494
"K03559","LinDA","2","1","0.291967246988284","BH",0.50372371183693
"K03560","LinDA","2","1","0.0773102699303395","BH",0.181159886254676
"K03561","LinDA","2","1","0.416063181465972","BH",0.643565709262637
"K03562","LinDA","2","1","0.0766230700959599","BH",0.180899579023544
"K03594","LinDA","2","1","0.0325675947133403","BH",0.0904975640706978
"K03620","LinDA","2","1","0.00390779426407056","BH",0.0184793595707923
"K03646","LinDA","2","1","0.136393610591935","BH",0.27630705629592
"K03709","LinDA","2","1","0.130037873518604","BH",0.268630870295011
"K03711","LinDA","2","1","0.912580965510683","BH",0.987500651173494
"K03809","LinDA","2","1","0.0140001817888399","BH",0.0505523871596412
"K03832","LinDA","2","1","0.207996661451192","BH",0.375350297101576
"K03839","LinDA","2","1","0.312175734452936","BH",0.529855030368767
"K03840","LinDA","2","1","0.954473309408645","BH",0.987500651173494
"K03886","LinDA","2","1","0.107235573575218","BH",0.232220483466334
"K03890","LinDA","2","1","0.784296443493315","BH",0.950845881300776
"K03937","LinDA","2","1","0.664988300344638","BH",0.835225305232865
"K03939","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K03941","LinDA","2","1","0.664988300344638","BH",0.835225305232865
"K04047","LinDA","2","1","0.0271704766541533","BH",0.080598559238914
"K04564","LinDA","2","1","0.563644811685679","BH",0.740520798616331
"K04755","LinDA","2","1","0.0308913145210948","BH",0.0881806614511251
"K04758","LinDA","2","1","0.149211069043464","BH",0.296533390377517
"K04759","LinDA","2","1","0.905682568703628","BH",0.987500651173494
"K04780","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04781","LinDA","2","1","0.0104658344150997","BH",0.0421316923889911
"K04782","LinDA","2","1","0.368084752719984","BH",0.60197193934414
"K04783","LinDA","2","1","0.972315309120718","BH",0.987500651173494
"K04784","LinDA","2","1","0.00885192661433768","BH",0.0370600660920271
"K04787","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04788","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04789","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04790","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04791","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04792","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K04793","LinDA","2","1","0.987500651173494","BH",0.987500651173494
"K05524","LinDA","2","1","0.016711432288038","BH",0.056423545574666
"K05586","LinDA","2","1","0.827216250930694","BH",0.968275482529851
"K05587","LinDA","2","1","0.827216250930694","BH",0.968275482529851
"K05588","LinDA","2","1","0.827216250930694","BH",0.968275482529851
"K05922","LinDA","2","1","0.0153711033397861","BH",0.0530387521834378
"K05927","LinDA","2","1","0.0153711033397861","BH",0.0530387521834378
"K05997","LinDA","2","1","0.900516031703912","BH",0.987500651173494
"K06073","LinDA","2","1","0.599156547298126","BH",0.7678985953127
"K06074","LinDA","2","1","0.966623852854706","BH",0.987500651173494
