"feature","method","group1","group2","p_values","adj_method","p_adjust","description"
"K00001","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0426979996764463,"BH",0.0768417864389067,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"K00002","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.257084558237204,"BH",0.340917563551799,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"K00003","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.12945477334675e-05,"BH",0.000136739871080846,"hom; homoserine dehydrogenase [EC:1.1.1.3]"
"K00004","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",9.57934133139174e-07,"BH",1.06406698107177e-05,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
"K00005","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0083491299805197,"BH",0.0186946126913962,"gldA; glycerol dehydrogenase [EC:1.1.1.6]"
"K00007","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.222434937882812,"BH",0.303778890294057,"dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]"
"K00008","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000742990347625517,"BH",0.00216453527226424,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"K00009","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00205013625289738,"BH",0.00537580798803472,"mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"
"K00010","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.726962999197774,"BH",0.755877870943187,"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"K00012","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000145915706944689,"BH",0.000524989354038891,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"K00013","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",4.39334170313188e-05,"BH",0.00018493155100129,"hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"K00014","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",7.60956615047841e-06,"BH",4.30086764817448e-05,"aroE; shikimate dehydrogenase [EC:1.1.1.25]"
"K00015","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.44686625887727e-05,"BH",7.17763261660741e-05,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]"
"K00016","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",7.0143527185001e-05,"BH",0.000279266832752864,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
"K00018","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0339644715715381,"BH",0.0631527615022534,"hprA; glycerate dehydrogenase [EC:1.1.1.29]"
"K00019","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.041996699536733,"BH",0.0759148550289143,"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
"K00020","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.362813815904134,"BH",0.446841770204605,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"K00021","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0358088346222264,"BH",0.0660610426332587,"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"K00023","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0420385725709322,"BH",0.0759650230227049,"phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]"
"K00024","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.3950550519098e-05,"BH",0.000325886407352955,"mdh; malate dehydrogenase [EC:1.1.1.37]"
"K00025","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00486955824857442,"BH",0.0115519869163058,"MDH1; malate dehydrogenase [EC:1.1.1.37]"
"K00027","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.62274856925194e-06,"BH",3.31354389822468e-05,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
"K00028","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.345071584645122,"BH",0.430388388751584,"E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]"
"K00029","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0988061391974998,"BH",0.154333089810147,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"K00030","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0213026669748783,"BH",0.0421979227586983,"IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"K00031","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000127449498042581,"BH",0.000468033719376354,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
"K00032","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0441129195302451,"BH",0.0790137345496543,"E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]"
"K00033","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.28731103358399,"BH",0.374406445798175,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"K00034","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0475742445324829,"BH",0.0843297123360697,"gdh; glucose 1-dehydrogenase [EC:1.1.1.47]"
"K00035","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.175913618986706,"BH",0.251394480901666,"gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]"
"K00036","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.735531934756662,"BH",0.763394261898815,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"K00038","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.43046607573706e-05,"BH",7.1169331104356e-05,"E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]"
"K00039","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.020200258218122,"BH",0.0402533056927801,"rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]"
"K00040","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.252919963026253,"BH",0.336046815791539,"uxuB; fructuronate reductase [EC:1.1.1.57]"
"K00041","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00887744159757966,"BH",0.0197097079444802,"uxaB; tagaturonate reductase [EC:1.1.1.58]"
"K00042","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0410620995492832,"BH",0.0745983985950663,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
"K00043","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.113092274993466,"BH",0.172547437084106,"gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]"
"K00045","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000508567084294875,"BH",0.00154651449654794,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
"K00046","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.533219606678326,"BH",0.592601078077229,"idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]"
"K00048","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.252964783513093,"BH",0.33607370714129,"fucO; lactaldehyde reductase [EC:1.1.1.77]"
"K00050","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00860980638481455,"BH",0.0192153563325473,"ttuD; hydroxypyruvate reductase [EC:1.1.1.81]"
"K00051","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0305006307176348,"BH",0.057541689412378,"E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]"
"K00052","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",7.31453411960931e-05,"BH",0.000289113357858625,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"K00053","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.71952312545305e-05,"BH",8.2328115341049e-05,"ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"K00054","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.219830230209751,"BH",0.300949804718322,"mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
