"#NAME"	"STN056a.170.fil.dura.r1"	"STN056a.170.fil.dura.r2"	"STN056a.170.pre.poly.3.LG"	"STN056a.310.fil.dura.r1"	"STN056a.310.fil.dura.r2"	"STN056a.310.pre.poly.3.LG"	"STN056b.190.fil.dura.r1"	"STN056b.190.fil.dura.r2"	"STN056b.190.pre.poly.3.LG"	"STN056b.350.fil.dura.r1"	"STN056b.350.fil.dura.r2"	"STN056b.350.pre.poly.3.LG"	"STN056b.390.fil.dura.r1"	"STN056b.390.fil.dura.r2"	"STN056b.390.pre.poly.3.LG"	"STN056b.410.fil.dura.r1"	"STN056b.410.fil.dura.r2"	"STN056b.410.pre.poly.3.LG"	"STN068.190.fil.dura.r1"	"STN068.190.fil.dura.r2"	"STN068.190.pre.poly.3.LG"	"STN146.160.fil.poly.S.r1"	"STN146.160.pre.poly.3.S"	"STN146.201.fil.steri.r1"	"STN146.201.fil.steri.r2"	"STN146.201.pre.poly.3.S"	"STN22.150.fil.dura.r1"	"STN22.150.fil.dura.r2"	"STN22.150.pre.poly.3.LG"	"STN22.250.fil.dura.r1"	"STN22.250.fil.dura.r2"	"STN22.250.pre.poly.3.LG"	"STN22.325.fil.dura.r1"	"STN22.325.fil.dura.r2"	"STN22.325.pre.poly.3.LG"	"STN22.465.fil.dura.r1"	"STN22.465.fil.dura.r2"	"STN22.465.pre.poly.3.LG"
"K00001"	8969.22	6378.08	8040.73	8078.3	7175.5	5684.19	7522.53	7379.05	7422.09	7836.14	9871.96	4928.45	6935.38	6349.94	7252.77	6688.54	7789.06	5462.91	7695.3	9696.6	2839.16	3728.71	3735.1	8172.34	10417.37	6622.94	7007.36	5810.5	3081.32	8024.04	8604.94	3409.04	7294.2	5436.92	5642.9	8871.34	11616.03	4719.68
"K00002"	24	0	3.17	0	0	0	12	13	2	13	11	0	0	10	0	6	5	0	0	0.75	0	0	0	0	0	0	0	8	40	6	13	0.67	7	9	5.67	0	0	3
"K00003"	30326.24	22643.17	24077.94	27094.37	26142.33	26948.22	27189.25	26877.93	34725	28616.09	36069.45	24655.47	23930.84	21871.42	27869.25	24642.7	28272.06	27918.08	28717.7	35243.39	21662.83	13467.83	20732.3	22679.92	29106.97	18441.43	24652.05	22393.8	25038.26	32380.82	34497.54	34222.67	26613.7	18989.76	31268.75	31345.8	41756.83	25898.67
"K00004"	62	27.12	1270	41.62	28	531	35.5	36.38	1616	71.88	118.12	450	30.62	54.25	502.34	78.12	23.75	330.66	29.12	55.88	219	490	822	65.25	106.88	730	17.38	19	190	29.62	46.75	112	32.12	23	205	65.62	106	195
"K00005"	534.4	480.39	231.7	656.12	604.1	299.5	507.2	463.48	170.7	728.88	918.72	226.1	639.12	521.15	198	590.62	712.75	156.5	645.82	735.38	234	175.8	78.5	290.05	413.98	89.5	347.65	464.2	318	617.12	537.55	149	539.62	386.5	204.5	756.59	835.83	540.4
"K00006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00007"	41	44	0	67	66	0	0	0	0	84	100	0	55	0	0	0	79	0	68	71	11	8	0	22	0	0	0	0	25	0	93	51	83	56	45	83	135	56
"K00008"	3958	2874	4625	2665	2436.34	2590.75	3797.5	3808	5619.66	3142	3638.16	4285.66	2579	2298.34	5087.67	2362	2666.82	4491.99	3077.66	4105.55	9590.66	3348	6398.66	2978.5	3784.82	4714	3576	1702	2240.36	2450.77	2348.34	1391	2272.66	1479.66	1990.84	2740.67	3805.83	2169.43
"K00009"	268.57	143.9	199.7	199.17	152.94	413.73	196.36	200.07	68.03	211.03	337.43	197.66	237.8	167.4	224.66	121.83	199.23	225.33	196.2	238.8	58.33	92.8	43.13	123.8	112.86	58.6	134.27	153	262.68	154.1	147.34	252	92.33	87.43	323	176.07	200.16	319.07
"K00010"	2100	1654.47	3912	2399	2188	1797.15	1735.33	1566.8	6094.33	2199.2	2941	2020.08	1790.8	1794	2080	1795	2179.4	1448.67	2192	2816.51	408	448	4622.8	1592.67	2025.6	3696.6	1774.17	1800.3	1307	2445.03	2672.2	531	2240	1544.1	996	2803.27	3439.33	811.08
