"","rn","s.Bottom","s.Mid","s.Mid-Bottom","s.Mid-Surface","s.Surface","index","stat","p.value","p.value.bh"
"1","Seq5",0,0,0,0,1,5,0.442026449206722,9e-04,0.0324870967741935
"2","Seq21",0,0,0,0,1,5,0.455355002459417,0.001,0.0329117647058824
"3","Seq33",0,0,0,0,1,5,0.383490051625173,0.001,0.0329117647058824
"4","Seq86",0,0,0,0,1,5,0.48444282448037,1e-04,0.01119
"5","Seq91",1,0,0,0,0,1,0.466266247605005,6e-04,0.0248666666666667
"6","Seq94",1,0,1,0,0,7,0.543011915657106,1e-04,0.01119
"7","Seq116",1,0,0,0,0,1,0.47863647790253,2e-04,0.01865
"8","Seq158",1,1,1,0,0,16,0.454311522920668,3e-04,0.02238
"9","Seq205",1,0,1,0,0,7,0.399780273548686,0.0015,0.0453648648648649
"10","Seq220",1,0,1,0,0,7,0.51076256547228,1e-04,0.01119
"11","Seq244",1,0,0,0,0,1,0.475127372051353,6e-04,0.0248666666666667
"12","Seq272",1,0,0,0,0,1,0.541905521172374,1e-04,0.01119
"13","Seq290",1,1,1,0,0,16,0.492428700619722,1e-04,0.01119
"14","Seq323",1,0,0,0,0,1,0.480668472203096,3e-04,0.02238
"15","Seq331",1,0,1,0,0,7,0.530780511713831,1e-04,0.01119
"16","Seq353",1,0,1,0,0,7,0.438643149962046,0.0015,0.0453648648648649
"17","Seq366",1,0,1,0,0,7,0.480217503423101,8e-04,0.0308689655172414
"18","Seq369",1,0,1,0,0,7,0.425524740557805,9e-04,0.0324870967741935
"19","Seq371",1,0,1,0,0,7,0.461719144742172,6e-04,0.0248666666666667
"20","Seq380",1,0,1,0,0,7,0.442723243683521,5e-04,0.0248666666666667
"21","Seq407",1,0,1,0,0,7,0.498921596838333,4e-04,0.02238
"22","Seq414",1,0,0,0,0,1,0.437640204744597,0.001,0.0329117647058824
"23","Seq420",1,0,1,0,0,7,0.466946867605427,4e-04,0.02238
"24","Seq452",1,0,1,0,0,7,0.471832184276638,6e-04,0.0248666666666667
"25","Seq463",1,0,0,0,0,1,0.568136963965267,1e-04,0.01119
"26","Seq482",1,0,0,0,0,1,0.428051700029591,0.0014,0.04476
"27","Seq512",1,0,0,0,0,1,0.45076919885751,4e-04,0.02238
"28","Seq545",1,0,0,0,0,1,0.503234281801246,4e-04,0.02238
"29","Seq582",1,0,0,0,0,1,0.470344645997243,4e-04,0.02238
"30","Seq585",1,0,0,0,0,1,0.502617891585757,2e-04,0.01865
"31","Seq611",1,0,0,0,0,1,0.462820613186619,7e-04,0.027975
"32","Seq662",1,0,0,0,0,1,0.433536264657655,4e-04,0.02238
"33","Seq703",1,0,0,0,0,1,0.584297424922698,1e-04,0.01119
"34","Seq794",1,0,0,0,0,1,0.541934280782052,1e-04,0.01119
"35","Seq925",1,0,0,0,0,1,0.521281312201889,5e-04,0.0248666666666667
"36","Seq990",1,0,0,0,0,1,0.417505119539243,0.0016,0.0471157894736842
"37","Seq1017",1,0,0,0,0,1,0.589051593810464,1e-04,0.01119
"38","Seq1119",1,0,0,0,0,1,0.462989447425037,6e-04,0.0248666666666667
