asv	Iron	Lab_NO3	Lab_PO4	CTD_Depth	Salinity	Temperature	Longitude	Latitude	Lab_NH4	Sb_Oxygen
A714019	0.45	0.16	0.13	0.32	0.39	0.28	0.22	-0.19	-0.22	-0.54
Aliikangiella	0.09	0.08	0.08	0.34	0.29	0.25	-0.28	0.38	0	-0.16
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Arenicella	-0.1	0.02	0.03	0.27	0.28	0.33	-0.63	0.7	0.16	0
Bacteroides	0.12	0.08	0.07	0.26	0.19	0.13	-0.06	0.15	-0.05	-0.16
Bernardetia	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Burkholderia-Caballeronia-Paraburkholderia	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Candidatus Actinomarina	0.38	0.14	0.12	0.32	0.38	0.29	0.11	-0.08	-0.17	-0.48
Candidatus Megaira	0.1	0.08	0.07	0.31	0.24	0.2	-0.18	0.29	-0.03	-0.16
Chryseobacterium	0.15	0.06	0.04	0.09	0.04	-0.02	0.22	-0.19	-0.12	-0.14
CL500-3	0.18	0.08	0.07	0.2	0.15	0.08	0.11	-0.05	-0.11	-0.21
Clade Ib	0.37	0.13	0.11	0.29	0.36	0.28	0.12	-0.1	-0.17	-0.46
Colwellia	0.26	0.13	0.11	0.38	0.34	0.25	-0.04	0.14	-0.11	-0.33
Crocinitomix	-0.48	-0.18	-0.15	-0.4	-0.45	-0.33	-0.19	0.13	0.24	0.59
Curtobacterium	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Dasania	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Dokdonia	0.04	0.06	0.05	0.27	0.24	0.22	-0.29	0.38	0.03	-0.1
Fabibacter	0.05	0.06	0.06	0.27	0.26	0.24	-0.3	0.37	0.03	-0.13
Flavicella	-0.02	0.04	0.04	0.28	0.31	0.33	-0.53	0.59	0.11	-0.08
Glaciecola	-0.1	0	0.01	0.15	0.16	0.19	-0.42	0.47	0.12	0.04
Granulosicoccus	-0.15	-0.01	0	0.17	0.2	0.27	-0.61	0.65	0.18	0.07
Halobacteriovorax	0.4	0.16	0.13	0.36	0.34	0.22	0.21	-0.14	-0.22	-0.47
Halomonas	0.27	0.11	0.09	0.28	0.27	0.19	0.09	-0.02	-0.14	-0.33
hydrothermal vent metagenome 1	0.32	0.13	0.11	0.35	0.41	0.34	-0.04	0.09	-0.12	-0.43
hydrothermal vent metagenome 2	0.34	0.11	0.09	0.21	0.28	0.2	0.18	-0.18	-0.17	-0.41
JL-ETNP-F27	0.37	0.16	0.13	0.38	0.35	0.23	0.15	-0.06	-0.2	-0.44
Kordia	-0.14	-0.02	-0.01	0.05	0.03	0.07	-0.31	0.34	0.11	0.12
Lentimonas	-0.11	0.01	0.02	0.21	0.23	0.28	-0.56	0.62	0.15	0.02
Lentisphaera	-0.3	-0.11	-0.09	-0.24	-0.29	-0.21	-0.11	0.08	0.14	0.37
Lewinella	-0.13	0	0.01	0.21	0.24	0.29	-0.61	0.66	0.17	0.04
LS-NOB	0.39	0.14	0.11	0.27	0.34	0.25	0.19	-0.17	-0.19	-0.48
Maribacter	0.05	0.07	0.06	0.31	0.28	0.27	-0.33	0.42	0.03	-0.14
Marinobacter	0.25	0.1	0.08	0.23	0.19	0.1	0.17	-0.11	-0.15	-0.28
Marinoscillum	0.43	0.15	0.12	0.32	0.41	0.32	0.14	-0.12	-0.19	-0.54
MB11C04 marine group	0.5	0.18	0.14	0.36	0.43	0.3	0.26	-0.22	-0.25	-0.6
Methylobacterium-Methylorubrum	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Methylotenera	-0.16	-0.01	0	0.16	0.18	0.25	-0.58	0.63	0.18	0.08
MSBL3	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Nitrospina	0.42	0.14	0.11	0.28	0.35	0.26	0.22	-0.2	-0.21	-0.5
NS4 marine group	0.44	0.15	0.13	0.33	0.41	0.32	0.15	-0.13	-0.2	-0.54
NS5 marine group	0.33	0.12	0.1	0.26	0.35	0.29	0.05	-0.04	-0.13	-0.43
NS10 marine group	-0.08	0	0	0.11	0.15	0.19	-0.39	0.41	0.12	0.02
Oceanicoccus	0.04	0.07	0.07	0.36	0.31	0.29	-0.4	0.51	0.04	-0.13
OM75 clade	0.34	0.11	0.09	0.18	0.23	0.14	0.27	-0.27	-0.19	-0.39
Owenweeksia	0.12	0.09	0.08	0.35	0.35	0.33	-0.33	0.41	0.01	-0.22
P3OB-42	0.39	0.15	0.13	0.34	0.33	0.21	0.22	-0.15	-0.21	-0.45
Paraglaciecola	-0.25	-0.06	-0.04	0.01	0.01	0.09	-0.48	0.5	0.2	0.22
Phycisphaera	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Polaribacter	-0.53	-0.21	-0.17	-0.5	-0.53	-0.39	-0.15	0.06	0.25	0.65
Profundimonas	-0.22	-0.04	-0.02	0.08	0.13	0.22	-0.63	0.64	0.22	0.15
Prosthecobacter	0.09	0.08	0.07	0.32	0.22	0.16	-0.16	0.28	-0.03	-0.13
Pseudohongiella	0.46	0.16	0.13	0.34	0.42	0.32	0.18	-0.16	-0.22	-0.56
Pseudomonas	0.28	0.11	0.09	0.22	0.16	0.06	0.28	-0.21	-0.18	-0.29
