"","rn","s.Cont_Shelf","s.Dotson","s.Eastern_CC","s.Getz","s.Open_polynya","s.Western_CC","index","stat","p.value","p.value.bh"
"1","Seq3",0,0,0,0,0,1,6,0.688380917062769,4e-04,0.0139875
"2","Seq37",0,0,0,1,0,0,4,0.555108841968023,0.0023,0.0476611111111111
"3","Seq45",0,0,0,0,0,1,6,0.595173068161121,0.002,0.04476
"4","Seq58",1,0,0,0,0,0,1,0.702146232287536,1e-04,0.00373
"5","Seq160",1,0,0,0,0,0,1,0.60786386292252,0.0011,0.0323921052631579
"6","Seq188",1,0,0,1,1,0,29,0.57657885791432,0.0022,0.0473423076923077
"7","Seq304",1,0,0,0,0,0,1,0.540334824285129,8e-04,0.0255771428571429
"8","Seq314",0,0,0,1,0,0,4,0.588476952198021,0.002,0.04476
"9","Seq331",0,0,0,1,0,0,4,0.645674644520207,9e-04,0.027975
"10","Seq351",1,0,0,0,0,0,1,0.755997750201352,1e-04,0.00373
"11","Seq407",0,0,0,1,0,0,4,0.604964002951613,0.0019,0.04476
"12","Seq409",1,0,0,0,0,0,1,0.735757369441326,1e-04,0.00373
"13","Seq423",1,0,0,0,0,0,1,0.726957687951009,1e-04,0.00373
"14","Seq452",0,0,0,1,0,0,4,0.609758101861865,0.0013,0.0338302325581395
"15","Seq471",1,0,0,0,0,0,1,0.796671002275163,1e-04,0.00373
"16","Seq482",0,0,0,1,0,0,4,0.604900261253254,0.002,0.04476
"17","Seq509",1,0,0,0,0,0,1,0.61126637739263,1e-04,0.00373
"18","Seq583",1,0,0,0,0,0,1,0.822840957416883,1e-04,0.00373
"19","Seq591",1,0,0,0,0,0,1,0.869077729215444,1e-04,0.00373
"20","Seq606",1,0,0,0,0,0,1,0.637862589101975,1e-04,0.00373
"21","Seq615",1,0,0,0,0,0,1,0.922760272007193,1e-04,0.00373
"22","Seq618",1,0,0,0,0,0,1,0.606864494111018,1e-04,0.00373
"23","Seq623",1,0,0,0,0,0,1,0.703925311991414,1e-04,0.00373
"24","Seq637",1,0,0,0,0,0,1,0.743613246002527,1e-04,0.00373
"25","Seq655",1,0,0,0,0,0,1,0.551489632439782,0.0022,0.0473423076923077
"26","Seq683",1,0,0,0,0,0,1,0.905959369716237,1e-04,0.00373
"27","Seq712",1,0,0,0,0,0,1,0.636915466459621,1e-04,0.00373
"28","Seq791",1,0,0,0,0,0,1,0.717837833522596,5e-04,0.0169545454545455
"29","Seq841",1,0,0,0,0,0,1,0.623674917265555,0.0025,0.0499553571428571
"30","Seq859",1,0,0,0,0,0,1,0.537833207930876,0.0024,0.0488290909090909
"31","Seq869",1,0,0,0,0,0,1,0.738483096142586,1e-04,0.00373
"32","Seq907",1,0,0,0,0,0,1,0.822902454409481,1e-04,0.00373
"33","Seq916",1,0,0,0,0,0,1,0.821601497961098,1e-04,0.00373
"34","Seq917",1,0,0,0,0,0,1,0.544054909047971,0.0013,0.0338302325581395
"35","Seq942",1,0,0,0,0,0,1,0.62325446768936,0.0011,0.0323921052631579
"36","Seq985",1,0,0,0,0,0,1,0.590640866200792,1e-04,0.00373
"37","Seq1063",1,0,0,0,0,0,1,0.508702901907477,1e-04,0.00373
"38","Seq1069",1,0,0,0,0,0,1,0.650967517531293,0.0013,0.0338302325581395
"39","Seq1129",1,0,0,0,0,0,1,0.782282442186606,1e-04,0.00373
"40","Seq1135",1,0,0,0,0,0,1,0.668472731441276,1e-04,0.00373
"41","Seq1153",1,0,0,0,0,0,1,0.61936668018659,1e-04,0.00373
"42","Seq1182",1,0,0,0,0,0,1,0.822290567249593,1e-04,0.00373
"43","Seq1227",1,0,0,0,0,0,1,0.576354191626172,1e-04,0.00373
"44","Seq1286",1,0,0,0,0,0,1,0.934358208212151,1e-04,0.00373
"45","Seq1307",1,0,0,0,0,0,1,0.74337678224957,1e-04,0.00373
"46","Seq1376",1,0,0,0,0,0,1,0.817899664269713,1e-04,0.00373
"47","Seq1389",1,0,0,0,0,0,1,0.536872882219522,0.0013,0.0338302325581395
"48","Seq1390",1,0,0,0,0,0,1,0.936664519117474,1e-04,0.00373
"49","Seq1516",1,0,0,0,0,0,1,0.643051346370481,0.0013,0.0338302325581395
"50","Seq1520",1,0,0,0,0,0,1,0.578580362253806,6e-04,0.0197470588235294
"51","Seq1526",0,0,0,1,0,0,4,0.51053489705724,0.0015,0.0381477272727273
"52","Seq1696",1,0,0,0,0,0,1,0.645189585024243,0.0019,0.04476
"53","Seq1790",1,0,0,0,0,0,1,0.611014998762497,0.0023,0.0476611111111111
"54","Seq1923",1,0,0,0,0,0,1,0.812208389159834,1e-04,0.00373
"55","Seq2107",0,0,0,1,0,0,4,0.66467326272643,4e-04,0.0139875
"56","Seq2218",1,0,0,0,0,0,1,0.517364429479639,0.0017,0.0422733333333333
