"","STN002.517.fil.dura.r1","STN002.517.fil.dura.r2","STN004.555.fil.dura.r1","STN004.555.fil.dura.r2","STN012.730.fil.dura.r1","STN012.730.fil.dura.r2","STN014.580.fil.dura.r1","STN014.580.fil.dura.r2","STN014.700.fil.dura.r1","STN014.700.fil.dura.r2","STN014.860.fil.dura.r1","STN014.860.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN115.730.fil.dura.r1","STN12.3.732.fil.poly.S.r1","STN151.2.600.fil.poly.S.r1","STN151.2.673.fil.poly.S.r1","STN174.620.fil.poly.S.r1","STN181.757.fil.poly.S.r1","STN20.499.fil.dura.r1","STN20.499.fil.dura.r2","STN22.610.fil.dura.r1","STN22.610.fil.dura.r2"
"Seq1",0.0266376451077944,0.0329900839054157,0.0116144438816123,0.0202920727853365,0.050850989927058,0.0572012257405516,0.102631291625723,0.0919307384363093,0.0402204116234164,0.0522608380380173,0.0271591275879559,0.0534666741158724,0.0561016320474777,0.0804460157737286,0.074366019548669,0.0752623826183023,0.0294399733122055,0.011578977915784,0.032043905461627,0.359660551427867,0.00171174255391989,0.00427477510965727,0.0007997067741828,0.000690051753881541,0.0841978744939271,0.0991686065846358
"Seq3",0.0202805417357656,0.0198798627002288,0.013134090744627,0.0139383254050098,0.052518235498437,0.056224186170449,0.0744622775412163,0.0671393430762552,0.0543022653416851,0.0553685191899311,0.0515977313598008,0.0508408290965976,0.025129821958457,0.0270329072613544,0.0217107337507319,0.0212207696556804,0.0958258621408615,0.103311181403987,0.034965034965035,0.0156343533223001,0.311982197877439,0.391941119619359,0.054646629569158,0.0549357868506805,0.0259994939271255,0.025673428666445
"Seq4",0.0930762852404644,0.072463768115942,0.0652724509732976,0.0967366355078008,0.378047933310177,0.356752675756095,0.270498962768861,0.318767182752134,0.353647623981538,0.352203863883566,0.345460414072947,0.333594055533829,0.292006676557863,0.293554528147947,0.414891221116166,0.388832627508746,0.383261748884534,0.301924025653675,0.355227051429583,0.228810873622311,0.108456008216364,0.0805888038064084,0.317250341541435,0.322790875982365,0.355579453441296,0.33175922846691
"Seq5",0.0201077943615257,0.015684591914569,0.00531876402055141,0.00738498386613885,0.0263980548801667,0.0315317315805836,0.0347745387050988,0.0345825495586746,0.033344322516837,0.0237737608121407,0.0333840549638032,0.026984747751271,0.00324554896142433,0.00331792221920044,0.000945903337687492,0.000506352421285214,0.0318585546891289,0.0703154473432195,0.0068159688412853,0.0117257649917251,0.114720985963711,0.100884692587912,0.0242577721502116,0.0288288288288288,0.00132844129554656,0.00106418357166611
"Seq6",0.0232172470978441,0.0234553775743707,0.0105289818366018,0.0119756495126576,0.0418895449808961,0.0440556024337167,0.0519707391636642,0.0520426373414364,0.0400320256204964,0.0449577873310198,0.0470788951906672,0.0422928655232136,0.0303227002967359,0.0215936905085668,0.0208098734291248,0.0209445774258884,0.0783119969976231,0.121071418207145,0.0293883331858015,0.0105285397373147,0.243238616912016,0.290907739201546,0.0305887841124921,0.0352309756565076,0.0259994939271255,0.0203525108081144
"Seq7",0.0167564953012714,0.0147787948131198,0.00810478326941168,0.0121752436712019,0.0456755817992358,0.0512945774303859,0.0459111256687411,0.0346307818453673,0.0497339047708755,0.0484280312839903,0.0646931341356573,0.0662048159115034,0.102188427299703,0.0870274680446016,0.0189180667537498,0.0224636346897441,0.0550018764855511,0.043355872195943,0.086217579888466,0.054544174090637,0.0269428277986991,0.0103709761356033,0.0861017626870148,0.088709986582327,0.0285931174089069,0.0506817426005986
"Seq16",0.24588861249309,0.274075133485889,0.772161516752298,0.670503309936463,0.00642584230635637,0.00581782653106542,0,0,0,0,0,0,0,0,0.0010359893698482,0.00128889707236236,0,0,0,0,0,0,0,0,0,0
"Seq17",0.00397318960751797,0.00352784134248665,0.000615095158839279,0.000997970792721466,0.00347342827370615,0.00390815828041036,0.0048586090184518,0.0035691892152607,0.0033438515518297,0.00290050240845289,0.00318162954765528,0.00318453544890776,0,0.000108784335055752,0,0,0.00325257495517285,0.00487535912243536,0.00137204567584314,0.000316912567343921,0.0104416295789113,0.00516690208906401,0.0035320382526407,0.0037569484377995,0.000379554655870445,0.00033255736614566
"Seq19",0.0131633499170813,0.0134916094584287,0.0099138866777625,0.0183293968929843,0.0696422368878083,0.077719056712706,0.0644175128289114,0.060483287512661,0.0592944944190647,0.0574921013104056,0.0563471203947065,0.062517459075926,0.0676928783382789,0.060103345118303,0.0220710778793748,0.0275731909408949,0.0304824652850173,0.0584462694796715,0.0447906523855891,0.0074298390788408,0.0117767887709688,0.00840086238941343,0.0623438072706674,0.0513705194556258,0.0852732793522267,0.0724309943465248
"Seq25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237963957166488,0,0.000739462657135815,0.00636768230058199,0,0,0,0,0
