"","STN002.20.fil.dura.r1","STN002.20.fil.dura.r2","STN056a.150.fil.dura.r1","STN056a.150.fil.dura.r2","STN056a.170.fil.dura.r1","STN056a.170.fil.dura.r2","STN056b.190.fil.dura.r1","STN056b.190.fil.dura.r2","STN068.190.fil.dura.r1","STN068.190.fil.dura.r2","STN078.100.fil.dura.r1","STN078.100.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN078.20.fil.dura.r1","STN078.20.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN089.2.fil.dura.r1","STN089.2.fil.dura.r2","STN089.200.fil.dura.r1","STN106.100.fil.dura.r1","STN106.100.fil.dura.r2","STN106.170.fil.dura.r1","STN106.170.fil.dura.r2","STN106.20.fil.dura.r1","STN106.20.fil.dura.r2","STN115.125.fil.dura.r1","STN115.125.fil.dura.r2","STN115.180.fil.dura.r1","STN115.180.fil.dura.r2","STN12.3.15.fil.poly.S.r1","STN12.3.165.fil.poly.S.r1","STN132.100.fil.steri.r1","STN146.160.fil.poly.S.r1","STN153.120.fil.poly.S.r1","STN153.160.fil.poly.S.r1","STN153.2.fil.poly.S","STN153.200.fil.poly.L.r1","STN174.3.fil.poly.S.r1","STN181.2.fil.poly.S.r1","STN20.175.fil.dura.r1","STN20.175.fil.dura.r2","STN22.150.fil.dura.r1","STN22.150.fil.dura.r2","STN22.2.fil.dura.r1","STN22.2.fil.dura.r2"
"Seq1",0.00764641781947805,0.00394052943309561,0.0383047210300429,0.0416945586688343,0.0476533141440793,0.0756843800322061,0.0564414072386738,0.0719704908412625,0.0744976677430929,0.0677226381729937,0.00600194429181284,0.00610208891615278,0.0561016320474777,0.0804460157737286,0.00438358026369444,0.00542779602913869,0.074366019548669,0.0752623826183023,0.0911485774499473,0.0870527480634452,0.0956484479146829,0,0.0158735452029213,0,0.0293691623795015,0,0.00644384648066846,0.00784734565210101,0.00590009177920545,0.0280646731195588,0.0212658631126215,0.102524596658816,0.279117439605008,0.277929447031743,0.00415405918252218,0.00996173025629131,0.0198772606310759,0.00193253190098616,0.0279683377308707,0.00298355015589722,0.00152005491811317,0,0,0.0699135899450118,0.191481682006858,0.0807947622078749,0.128421978881502
"Seq3",0.288864673180282,0.322543212861114,0.110407725321888,0.115425074113034,0.127248740705205,0.127482555018787,0.161014089260103,0.153497925137276,0.0914513814137065,0.0770533127657173,0.394014962593516,0.360442966454654,0.025129821958457,0.0270329072613544,0.463062389560962,0.452506784745036,0.0217107337507319,0.0212207696556804,0.0739594309799789,0.0677486782245174,0.0236145496095982,0.318084114044693,0.355520725647781,0.159554351714622,0.195644573198142,0.374037751766319,0.480951706557145,0.356249371206278,0.340500852235479,0.28821716325096,0.280704083258111,0.113948011357383,0.132207723505555,0.078421926021091,0.372634494076619,0.12670764235185,0.144082984847662,0.0888112086850257,0.177625329815303,0.264111385872487,0.314553299990193,0.233760094544022,0.232554240300459,0.171379942393297,0.0380797689947663,0.151404928616896,0.0375928822839265
"Seq4",0.00531924717876734,0.00439985494983682,0.289163090128755,0.265707181792101,0.248740705205085,0.254535695115405,0.241921876318232,0.250618267175253,0.277493720846789,0.279318258775725,0.0757851134874678,0.0780679947050657,0.292006676557863,0.293554528147947,0.0228014136196819,0.021282673903728,0.414891221116166,0.388832627508746,0.279373024236038,0.287347842124677,0.294943820224719,0.0834651417447378,0.12295327975456,0.198344150866254,0.209080465511213,0.02029948328588,0.0310508426568475,0.105234917334585,0.10462829421791,0.123560266046612,0.100780544788403,0.00922237140404552,0.151229941809205,0.136930571168567,0.0492845786963434,0.00454598167691059,0.12952805083365,0.00144939892573962,0.131116974494283,0.00110203203956564,0.0069137981759341,0.12357691550128,0.12715871365816,0.234005411538797,0.313240690609397,0.213421842320633,0.321861556511537
"Seq5",0.308350109894169,0.322011362262783,0.0168454935622318,0.0182652768480444,0.0243863436475574,0.0249597423510467,0.0256896988104277,0.0290480781322044,0.0135450304987442,0.0139960118890854,0.162855572932077,0.16068834145869,0.00324554896142433,0.00331792221920044,0.303758325404377,0.322211112698186,0.000945903337687492,0.000506352421285214,0.0152133825079031,0.0163531292266076,0.00109502951818701,0.355071582106501,0.180644946143329,0.112485306894261,0.0627840767194446,0.45378572181799,0.303498088089506,0.072738857775244,0.0783073292251213,0.0287135672957335,0.132506770031328,0.113221667070191,0.02512784341386,0.103099405813393,0.160059490230268,0.169581352197611,0.13278661815022,0.244380026714412,0.0317678100263852,0.251451456832599,0.277140335392763,0.10608627142013,0.121357432681667,0.0799511215850572,0.00372977200264693,0.0928889697190143,0.00513296832225264
"Seq6",0.0994219012614742,0.0847092952979572,0.0591738197424893,0.060485798986325,0.061725433757096,0.0600644122383253,0.081076520712056,0.06941358930293,0.046286329386437,0.0482335678543211,0.101018639841075,0.111871630129468,0.0303227002967359,0.0215936905085668,0.0548457251597118,0.0504499357234681,0.0208098734291248,0.0209445774258884,0.0371443624868282,0.0301856633468585,0.0202342410969339,0.0460721093401468,0.05749157968453,0.0718556753717995,0.077368762799061,0.0507223452493937,0.0665274040504178,0.141654649719977,0.135079323456143,0.106202346833937,0.0841873307492168,0.101732221072788,0.0472579791923823,0.0321181949574434,0.110313349402533,0.103884958831033,0.0482811057405094,0.027027027027027,0.0628671943711522,0.0388130308568971,0.0653133274492498,0.126255662792988,0.131920458737132,0.0718338133891944,0.0244841484689888,0.0672910793852869,0.0214606961282753
"Seq7",0.0617254308036127,0.0466819775172247,0.066255364806867,0.077651334034618,0.071439993603582,0.0790660225442834,0.0682105796001012,0.0666890220899526,0.0674560459275206,0.069603822566688,0.0553700494526396,0.0502050172731088,0.102188427299703,0.0870274680446016,0.0318404240859046,0.0300242822453935,0.0189180667537498,0.0224636346897441,0.0617096944151739,0.0699618836837575,0.0680822700438012,0.0369469116275297,0.0533898022476406,0.0947002606429192,0.0757204934818441,0.0155541495307392,0.0241467214275598,0.0841745196015963,0.0866330142913334,0.186503001135565,0.142489247597303,0.249312173970462,0.118850290953976,0.025908677265671,0.111339043027848,0.0409254319842282,0.0502905555857275,0.0694858896751641,0.12429199648197,0.0222825502634125,0.107629695008336,0.0856805199921213,0.052345662452634,0.0230863227721044,0.0308006978283102,0.0345094116577248,0.0321177160735237
"Seq16",0.00688916388083409,0.00630968209839236,0,0,0,0,0,0,0.00130068173663437,0,0.000464939346548882,0.000419720401640138,0,0,0,0,0.0010359893698482,0.00128889707236236,0,0,0,0,0,0.000459958092707109,0.000649318215873333,0,0,0,0,0,0.00116816226835873,0,0,0,0,0.00172793691290734,0,0,0,0,0,0,0,0,0,0,0
"Seq17",0.00616884915870934,0.00449655505862444,0.00525751072961373,0.00578559816390934,0.00747581354441513,0.00697799248523886,0.00565257740656374,0.0060359642872113,0.00435055615357015,0.00417622935400128,0.0186398410752779,0.0270235366286766,0,0.000108784335055752,0.00761179828734539,0.00708470218540209,0,0,0.00131717597471022,0.000737735153080044,0.000333269853361265,0.00413675629638642,0.00210091039450429,0.0035774518321664,0.00234753508815743,0.00664346725719709,0.00293867724118397,0.010328984875415,0.012980201914252,0.00681338884983507,0.0190091860032921,0.000308146061233024,0.000220419679068947,0.00556715379262352,0.00512846812657059,0.094445088716224,0.0121110085265845,0.0391906101685282,0.0173790677220756,0.0249973121169767,0.00441306266548985,0.0253299192436478,0.0307836759330673,0.00720083791568473,0.000240630451783673,0.0100481949622624,0.00131990614000782
"Seq19",0,0,0.0415236051502146,0.0433680787988907,0.0449748141041017,0.0341384863123994,0.0329874293427824,0.0327367229743891,0.0422497308934338,0.0362692351104255,0.00105668033306564,0.00235689148613308,0.0676928783382789,0.060103345118303,0.000679624847084409,0.000514212255392087,0.0220710778793748,0.0275731909408949,0.0228530031612223,0.0253903848518382,0.0347552847076747,0.00616457801030133,0.00563577550271784,0.018756068891501,0.0148843714100195,0.000817251924496467,0.00159325874522022,0.00264931754921359,0.0019994755473974,0.00389336505704861,0.00366378165985239,0,0.00141068594604126,0.0139178844815588,0.000871839581517001,0.0021106343499942,0.0162928365828491,0.000227356694233666,0.0279331574318382,0,0,0.00575142800866654,0.00459407799872573,0.0371388670681679,0.0709859832761836,0.0346912794398472,0.0729859210011733
"Seq25",0.0006279666808267,0.000580200652725734,0.00847639484978541,0.00927608300659845,0.00947469417126409,0.00869565217391304,0.0100396524086729,0.010604853921281,0.00583064226767133,0.00650889800218217,0.0319117460585824,0.0349336518903561,0,0,0.00105341851298083,0.000857020425653478,0,0,0,0,0,0.004623433507726,0.00847033714609664,0.0212091787192722,0.0185305429299236,0.00166086681429927,0.00290327149129019,0.0504376404305979,0.0500196669725974,0.0162223544043692,0.0122922529602294,0,0.00282137189208253,0.0125260960334029,0.0147187035232576,0.00248173489504813,0.00771194264921523,0.000454713388467332,0.0236059806508355,0.000591334265132781,0.000294204177699323,0.0552688595627339,0.0663290969451058,0.00829187396351575,0,0.00695644266618169,0
"Seq33",0.0519919472507988,0.0422095974857972,0.000321888412017167,9.56297217175098e-05,0.000319820900295834,0.000483091787439614,0.000295283894372733,0,0.00017940437746681,0.000188118439369427,0.0105668033306564,0.0113647370290253,0,0,0.0327239363871143,0.033252392515355,0,0,0.000263435194942044,0,0,0.00385286125643833,0.00220095374662354,0.000868809730668983,0.000749213326007692,0.012258778867447,0.0122503894632488,0.00546631342432677,0.006490100957126,0.000378521602768615,0.00748685817448096,0.000374177360068673,0,0.000428242599432579,0.00379506641366224,0.0122463179867795,0.0151523380220496,0.0217409838860943,0.00214599824098505,0.0113428663584561,0.00838481906443071,0.000709080165452039,0.00080480198517823,0.00126560181548398,0,0.00209147949440757,0.000488854125928823
"Seq34",0,0,0.0314377682403433,0.0276369895763603,0.028903813864236,0.0305421363392378,0.0207120560195731,0.02255103323972,0.0292429135270901,0.0303623161142255,0.00240923115938966,0.00174345397604365,0.0477559347181009,0.0469948327440848,0.00146119342123148,0,0.0236025404261069,0.0201620327748113,0.0270021074815595,0.0291405385466617,0.0247095791277852,0.00904408484406051,0.0110047687331177,0.0205447948075842,0.0193297038109985,0.00218812612042603,0.00265543124203371,0.00305174553137261,0,0.00621856918834153,0.00363723251738969,0,0.000947804619996473,0.0161126278036508,0,0.000347906760988055,0.0147178623798403,0.000227356694233666,0.0197361477572559,0,0,0.00559385463856608,0.00650548271352403,0.0196822903028716,0.0264091920832581,0.0246885514231154,0.0319221744231521
"Seq37",0.00903163843894871,0.00889641000846126,0.00853004291845494,0.00870230467629339,0.0120332613736308,0.00933977455716586,0.00776174808065469,0.00897011359349457,0.00897021887334051,0.00842770608375033,0.0189779787818589,0.0194362832144126,0.00630563798219585,0.00505847158009247,0.00737392959086584,0.00725610627053278,0.00819782892662493,0.0055238445958387,0.00763962065331928,0.00762326324849379,0.00399923824033517,0.00815184328993795,0.0060026011271551,0.0120100168651301,0.00819139903101743,0.00682800801434145,0.00548789123353633,0.0200878634427714,0.0251409466369477,0.00821932623154707,0.00876121701269049,0.00145268857438426,0.0062599188855581,0.0127402173331192,0.0272321657520899,0.219958251188681,0.0915114321403356,0.23511524142439,0.0549516270888303,0.0365283302870659,0.0118172011375895,0.0230057120346661,0.0215955199356158,0.00798638387012307,0.00421103290621428,0.0111394016549968,0.00405748924520923
"Seq38",0,0,0.0368025751072961,0.0427943004685856,0.0349804109698569,0.0361245303274289,0.0273770353497005,0.031395397577231,0.0434158593469681,0.0490236652996727,0.00456485903884357,0.00565008232977109,0.0636127596439169,0.0521620886592331,0.00258257441892076,0.00274246536209113,0.0556281248592406,0.0683115448352053,0.0556506849315068,0.0596335915406369,0.0638925918872596,0.0187370726365738,0.0271784439923967,0.0429805284407421,0.0353628689875631,0.00479805968575345,0.00683330972950007,0.00835038062979979,0.00747344958699358,0.0207646136375926,0.016115329474858,0,0.00639217069299947,0.0201274021733312,0.0043079132263193,0.00164675866867679,0.0101558681366426,0,0.024872471416007,0,0,0.00941500886350207,0.00623721538513128,0.0142271100637165,0.0254466702761234,0.0171410384650359,0.0234649980445835
"Seq39",0,0.000169225190378339,0.0390021459227468,0.0332791431576934,0.0361797393459663,0.027589908749329,0.0381338057875643,0.0327367229743891,0.0331898098313599,0.0361563640468039,0.00617101314510334,0.0053917928518387,0.0408011869436202,0.0428610280119663,0.000577681120021748,0.00119982859591487,0.0419800909868925,0.0397716810900387,0.0316780821917808,0.0313537440059019,0.0414206817749,0.00851685119844263,0.012705505719145,0.0223335207236674,0.0260226761900005,0.00171359274491195,0.00233677949298966,0.00784734565210101,0.00724400157335781,0.0181690369328935,0.0133807678012,0,0.0150546640804091,0.022215084845565,0.00241038001948818,0.000788588658239592,0.0148264812903927,0,0.0220580474934037,0,0,0.0169391372857987,0.0175715100097247,0.0301125949201362,0.0335077904108765,0.0281440392834409,0.0393038717246774
"Seq40",0.0103983894501598,0.0104677867762601,0.000321888412017167,0.000239074304293775,0.000279843287758855,0.000322061191626409,0,0,0.000134553283100108,0,0,0,0,0,0,0,0,0,0.000724446786090622,0.000983646870773392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000698263070611853,0.00036094567767551,0.000318268618714195,0
"Seq43",0.0329128419186229,0.0289616825818929,0,0,0.00055968657551771,0.000375738056897477,0,0,0,0,0.000464939346548882,0,0,0,0.000679624847084409,0.0011426939008713,0,0.000184128153194623,0.00151475237091675,0.00184433788270011,0,0.000283895039948088,0.000633607896755261,0,0,0.000395444479595065,0.00113298399660105,0.000771320299138133,0.0012455749311656,0.000973341264262153,0.00111506398343334,0.000924438183699073,0.00037471345441721,0.000642363899148868,0.0100005128468127,0.0319494375507364,0.0597947102590561,0.079574842981783,0.00742304309586631,0.0683528652833029,0.0841423948220065,0.000354540082726019,0.000335334160490929,0,0.000541418516513265,0,0.000439968713335941
"Seq52",0,4.83500543938112e-05,0.0102467811158798,0.0108539734149374,0.0121132165987047,0.00891035963499732,0.0116004387075002,0.0116108479691495,0.0104503049874417,0.0117385906166522,0.0036349803457458,0.0037451974300197,0.0148367952522255,0.0153929834103889,0.000339812423542205,0.000457077560348522,0.00572046304220531,0.0051095562511508,0.00882507903055848,0.00940612320177056,0.00795086650161874,0.00271728109664598,0.00420182078900857,0.0083303521234732,0.010588881674242,0.000606348202045766,0.00127460699617618,0.00596934840202555,0.00596564835452996,0.0158979073162818,0.0119471141082143,0,0.00330629518603421,0.00476419891868744,0.00400020513872506,0.000811782442305462,0.00488785097485472,0.000227356694233666,0.0100967458223395,0,0.000245170148082769,0.00728776836714595,0.00861808792461688,0.0103866631753513,0.0117908921374,0.00804764935891607,0.0124168947985921
