"","STN002.200.fil.dura.r1","STN002.200.fil.dura.r2","STN002.517.fil.dura.r1","STN002.517.fil.dura.r2","STN004.30.fil.dura.r1","STN004.30.fil.dura.r2","STN004.300.fil.dura.r1","STN004.300.fil.dura.r2","STN004.555.fil.dura.r1","STN004.555.fil.dura.r2","STN012.30.fil.dura.r1","STN012.30.fil.dura.r2","STN012.300.fil.dura.r1","STN012.300.fil.dura.r2","STN012.730.fil.dura.r1","STN012.730.fil.dura.r2","STN014.300.fil.dura.r1","STN014.300.fil.dura.r2","STN014.40.fil.dura.r1","STN014.40.fil.dura.r2","STN014.460.fil.dura.r1","STN014.460.fil.dura.r2","STN014.580.fil.dura.r1","STN014.580.fil.dura.r2","STN014.700.fil.dura.r1","STN014.700.fil.dura.r2","STN014.860.fil.dura.r1","STN014.860.fil.dura.r2","STN056a.100.fil.dura.r1","STN056a.100.fil.dura.r2","STN056a.310.fil.dura.r1","STN056a.310.fil.dura.r2","STN056b.30.fil.dura.r1","STN056b.30.fil.dura.r2","STN056b.350.fil.dura.r1","STN056b.350.fil.dura.r2","STN056b.390.fil.dura.r1","STN056b.390.fil.dura.r2","STN056b.410.fil.dura.r1","STN056b.410.fil.dura.r2","STN056b.90.fil.dura.r1","STN056b.90.fil.dura.r2","STN068.257.fil.dura.r1","STN068.257.fil.dura.r2","STN068.30.fil.dura.r1","STN068.30.fil.dura.r2","STN068.90.fil.dura.r1","STN068.90.fil.dura.r2","STN078.300.fil.dura.r1","STN078.300.fil.dura.r2","STN078.440.fil.dura.r1","STN078.440.fil.dura.r2","STN089.300.fil.dura.r1","STN089.300.fil.dura.r2","STN089.500.fil.dura.r1","STN089.500.fil.dura.r2","STN106.200.fil.dura.r1","STN106.200.fil.dura.r2","STN106.318.fil.dura.r1","STN106.318.fil.dura.r2","STN115.300.fil.dura.r1","STN115.300.fil.dura.r2","STN115.35.fil.dura.r1","STN115.35.fil.dura.r2","STN115.730.fil.dura.r1","STN115.730.fil.dura.r2","STN12.3.300.fil.poly.S.r1","STN12.3.732.fil.poly.S.r1","STN132.100.fil.steri.r2","STN132.200.fil.dura.r2","STN132.200.fil.steri.r1","STN132.30.fil.steri.r1","STN132.30.fil.steri.r2","STN132.305.fil.dura.r1","STN132.305.fil.dura.r2","STN132.505.fil.dura.r1","STN132.505.fil.dura.r2","STN146.201.fil.steri.r1","STN146.201.fil.steri.r2","STN146.250.fil.poly.S.r1","STN146.268.fil.steri.r1","STN146.268.fil.steri.r2","STN146.30.fil.steri.r1","STN146.30.fil.steri.r2","STN151.2.500.fil.poly.S.r1","STN151.2.600.fil.poly.S.r1","STN151.2.673.fil.poly.S.r1","STN153.300.fil.poly.L.r1","STN153.548.fil.poly.L.r1","STN174.280.fil.poly.S.r1","STN174.550.fil.poly.S.r1","STN174.620.fil.poly.S.r1","STN181.340.fil.poly.S.r1","STN181.757.fil.poly.S.r1","STN20.25.fil.dura.r1","STN20.25.fil.dura.r2","STN20.499.fil.dura.r1","STN20.499.fil.dura.r2","STN22.250.fil.dura.r1","STN22.250.fil.dura.r2","STN22.325.fil.dura.r1","STN22.325.fil.dura.r2","STN22.465.fil.dura.r1","STN22.465.fil.dura.r2","STN22.610.fil.dura.r1","STN22.610.fil.dura.r2"
"Seq1",0.0221943190687888,0.0238275793254839,0.0266376451077944,0.0329900839054157,0.00308264830037769,0.00274521018015442,0.0259358487757684,0.0234079494016246,0.0116144438816123,0.0202920727853365,0.00266776113277242,0.00297975363822598,0.0241226233352877,0.0194565695530065,0.050850989927058,0.0572012257405516,0.0422132397803539,0.0232730873978708,0.00350934465028973,0.00288290498681224,0.0455002153007033,0.0569554110543428,0.102631291625723,0.0919307384363093,0.0402204116234164,0.0522608380380173,0.0271591275879559,0.0534666741158724,0.108980504953659,0.069584219909138,0.0910025985275011,0.120418558299192,0.0100095497471085,0.00988550832184883,0.0864290748011678,0.102037629791553,0.0790322580645161,0.0788488074117879,0.109042107029022,0.101890485756967,0.0673646779928882,0.0861598617804856,0.05214527490623,0.0747049227521351,0.605385282268346,0.0102757241828242,0.0138516368446192,0.0142821526516366,0.0214886479653848,0.0232636466427695,0.0583832335329341,0.0630003480682214,0.0875618643606896,0.0845912111689248,0.0691961109793692,0.094980926664095,0,0.0561289472528438,0,0.0401996961146082,0.0272780212707267,0.0252442462789325,0.0926829268292683,0.046487519073744,0.0294399733122055,0.0283790501152334,0.0115167851016908,0.011578977915784,0.376171897746462,0.433457389174165,0.250021794089443,0.438995009464808,0.282224825372033,0.0448259860788863,0.048849104859335,0.000899838649621447,0.00161420500403551,0.199580730726448,0.190919165799107,0.0124605615240225,0.184743124026985,0.215945611866502,0.0692055977163545,0.0758659040355894,0.041221985058698,0.032043905461627,0.359660551427867,0.0111878628639234,0.0369609856262834,0.0022252941771469,0.00241949830990927,0.00171174255391989,0.00242775242775243,0.00427477510965727,0.00045709410043881,0.000571387758017284,0.0007997067741828,0.000690051753881541,0.24624349635796,0.316648781235628,0.117020670804624,0.0838526465252031,0.113811892916371,0.136907429753491,0.0841978744939271,0.0991686065846358
"Seq3",0.0728272304611939,0.0726801037717023,0.0202805417357656,0.0198798627002288,0.5400466562986,0.553159851301115,0.0558532410508298,0.0613877348545917,0.013134090744627,0.0139383254050098,0.532584796693149,0.507994785431133,0.173883909875199,0.159002470138395,0.052518235498437,0.056224186170449,0.197452715070165,0.200132045885945,0.39212165728121,0.397319511746304,0.0769819625855222,0.0735020901068277,0.0744622775412163,0.0671393430762552,0.0543022653416851,0.0553685191899311,0.0515977313598008,0.0508408290965976,0.0946902250833219,0.108056817528322,0.031507145950628,0.0277377920496069,0.493651186644502,0.51460298950493,0.0448504983388704,0.0422359278632212,0.0519713261648745,0.0528287009658979,0.0393110775596936,0.0380672745067738,0.171315685499802,0.16008911521324,0.0498124599762144,0.0444774973610978,0.0157580702738538,0.56460687218115,0.346952272476761,0.354916835844285,0.164519422431815,0.177159766160656,0.0502857920522591,0.0537765402018796,0.025507151792027,0.0257585904899284,0.0196348114773536,0.0189447516180189,0.202312138728324,0.232860468180421,0.126887973507794,0.156414152376818,0.159132007233273,0.148252573601731,0.234146341463415,0.105007513016738,0.0958258621408615,0.090650277915857,0.160091480846198,0.103311181403987,0.0560181680545042,0.0317991237574787,0.06738732455758,0.0606780244364137,0.0812182741116751,0.0705336426914153,0.0638107416879795,0.0566898349261512,0.0521926284638149,0.142808248481218,0.154750310642442,0.230959702863533,0.280564119783876,0.25778739184178,0.24096637192787,0.269979345408325,0.0516275346851654,0.034965034965035,0.0156343533223001,0.274229774971395,0.04072553045859,0.2993357834047,0.278811599359545,0.311982197877439,0.334532584532585,0.391941119619359,0.291473671379815,0.292943361188487,0.054646629569158,0.0549357868506805,0.0208116545265349,0.0165184730952016,0.0211263595467229,0.0239015539954248,0.0218905472636816,0.02313394242372,0.0259994939271255,0.025673428666445
"Seq4",0.0683137068585197,0.0816603472360806,0.0930762852404644,0.072463768115942,0.0122750499888914,0.0120674864169288,0.103668973729255,0.101630805481491,0.0652724509732976,0.0967366355078008,0.00495441353229164,0.00595950727645196,0.16957031577184,0.160592833214902,0.378047933310177,0.356752675756095,0.157374923733984,0.13794668647355,0.00448869664571942,0.00573514077163712,0.290608104875365,0.276474686483976,0.270498962768861,0.318767182752134,0.353647623981538,0.352203863883566,0.345460414072947,0.333594055533829,0.299593662968543,0.285582839726264,0.315504547423127,0.319898128667922,0.0313373182895342,0.0318827520407082,0.312342696063626,0.291162463892576,0.302090800477897,0.337341481043433,0.322485041659677,0.349611085355174,0.267483208218096,0.270210057288351,0.317720245174275,0.333701180308991,0.0132082207149778,0.0118101083368206,0.115736488224272,0.128005128753072,0.190821138606641,0.186470036326894,0.291916167664671,0.290462930734424,0.306520911513569,0.32023079697079,0.322883566516481,0.299429942994299,0.179109907433607,0.1790592472221,0.220902996526936,0.19917516822227,0.228522389432065,0.201363844993771,0,0.00160743613935772,0.383261748884534,0.364092367481585,0.202278853222249,0.301924025653675,0.119664589763,0.0934658689405003,0.133379827390812,0.0819824470831182,0.108985205431906,0.27860788863109,0.245907928388747,0.2197778329403,0.211259079903148,0.126165825275948,0.126910031232159,0.206717520667758,0.0670350132787936,0.061619283065513,0.0189375478660447,0.0048061646012075,0.291422091782284,0.355227051429583,0.228810873622311,0.0600288172225283,0.337183436002738,0.16028861391146,0.147482654331969,0.108456008216364,0.135339885339885,0.0805888038064084,0.0142308629936616,0.0146060995643168,0.317250341541435,0.322790875982365,0.284869927159209,0.243292963360417,0.313080120722055,0.339749152007573,0.297607202084814,0.304947422858128,0.355579453441296,0.33175922846691
"Seq5",0.010316625377541,0.0114547994412293,0.0201077943615257,0.015684591914569,0.151521884025772,0.138633114097798,0.0170424946044504,0.0127426055683016,0.00531876402055141,0.00738498386613885,0.308991234499135,0.307207279112459,0.0317865817907697,0.034818800121815,0.0263980548801667,0.0315317315805836,0.0983450274557657,0.105059008005282,0.404690007889224,0.388272097160032,0.0234916989617722,0.0234556432884347,0.0347745387050988,0.0345825495586746,0.033344322516837,0.0237737608121407,0.0333840549638032,0.026984747751271,0.0204994749577683,0.0182874230835586,0.00265266349068861,0.00177167534049385,0.240370671665547,0.220157956111523,0.00634249471458774,0.00558201264735733,0.00609318996415771,0.00637361193245285,0.00626293127551306,0.00443002111986813,0.0298301066772027,0.0300991179412567,0.00718141066691062,0.00738892620669801,0.00979142230608394,0.245036499744269,0.12088033214535,0.102040816326531,0.0534785356604599,0.060240094305579,0.00714480130647795,0.00835363731291333,0.00119649752542557,0.000875792076657565,0,0.000728644293000729,0.092485549132948,0.0545917695111775,0.0739843308294968,0.0450184501845018,0.0247341159162657,0.0265337792057351,0.390243902439024,0.478177307195024,0.0318585546891289,0.0310452347598174,0.0425957690108634,0.0703154473432195,0.0816980143248122,0.0290196447920102,0.0422805335193096,0.205472379969024,0.239880255108681,0.0116937354988399,0.00946291560102302,0.0149559389350875,0.0173527037933818,0.0887310687088218,0.087315713470128,0.0745636806581732,0.10210934399707,0.102472187886279,0.361832486249391,0.310414680648236,0.0104722518676628,0.0068159688412853,0.0117257649917251,0.0460227995084121,0.00752908966461328,0.0202973802218551,0.076641167052126,0.114720985963711,0.0238972738972739,0.100884692587912,0.573622623110678,0.565566745232483,0.0242577721502116,0.0288288288288288,0.00166493236212279,0.00195462210639276,0.0015374978645863,0.00134101128027136,0.0015636105188344,0.000896397172901224,0.00132844129554656,0.00106418357166611
"Seq6",0.0576237825363966,0.0709638794651766,0.0232172470978441,0.0234553775743707,0.0513774716729616,0.0460394623963397,0.0615092654610404,0.0585043715508154,0.0105289818366018,0.0119756495126576,0.0278502535838879,0.0288663633703142,0.126224976966245,0.124725070212838,0.0418895449808961,0.0440556024337167,0.119356314826113,0.121482215069737,0.038602791153187,0.0397779549776115,0.0636811635806899,0.0647352531351602,0.0519707391636642,0.0520426373414364,0.0400320256204964,0.0449577873310198,0.0470788951906672,0.0422928655232136,0.044468794229101,0.0494565529932716,0.0239281074058034,0.0244159007861809,0.0537261698440208,0.055019612000424,0.0305043793415886,0.0292762901085174,0.0351254480286738,0.0313424009461857,0.0303640328803892,0.0270437335805903,0.0655077044646385,0.0501955078657816,0.0358613118653371,0.0355532098646963,0.00912846142077617,0.0494722648440043,0.0868574787816438,0.091818926523489,0.0960668967864262,0.0978660957009166,0.0302123026673925,0.0351548903585103,0.0221352042203731,0.0192674256864664,0.0234289779464074,0.0182161073250182,0.093536521282186,0.0977205850059291,0.0695420402229222,0.0656826568265683,0.101449719557422,0.101916814197976,0.0975609756097561,0.0737091006511281,0.0783119969976231,0.0687785259162185,0.124234256309728,0.121071418207145,0.0246316892796832,0.0270410326471004,0.0649463865399704,0.0184477714679057,0.0272029155277886,0.0492807424593968,0.0437340153452685,0.0349075338215217,0.0405232714554748,0.118892786857192,0.114618665412903,0.113143496146012,0.0988430660276565,0.0950556242274413,0.0621040172665878,0.0858357165554496,0.0324839914621131,0.0293883331858015,0.0105285397373147,0.0774250964105607,0.0195071868583162,0.182743855153579,0.225048923679061,0.243238616912016,0.161869661869662,0.290907739201546,0.0329107752315943,0.0256767373759017,0.0305887841124921,0.0352309756565076,0.0157752341311134,0.0163651694005826,0.0239735778144753,0.0246115011438037,0.0226486614546316,0.0228926047233236,0.0259994939271255,0.0203525108081144
"Seq7",0.0524315335799369,0.0598283775693474,0.0167564953012714,0.0147787948131198,0.035019995556543,0.0450386045181584,0.0894917020168192,0.0834625162770509,0.00810478326941168,0.0121752436712019,0.0189381724370438,0.0226408066618778,0.0734567384203032,0.104287212804115,0.0456755817992358,0.0512945774303859,0.0642541183648566,0.078443509119419,0.00924943551239152,0.0162240078513157,0.052772594612698,0.0606130980027868,0.0459111256687411,0.0346307818453673,0.0497339047708755,0.0484280312839903,0.0646931341356573,0.0662048159115034,0.0561110350180341,0.0618206912415895,0.0579255088783023,0.0573026242940981,0.0264209670003183,0.027112265451076,0.066143159166415,0.0691310797095792,0.0672043010752688,0.0494776266508969,0.053067158754124,0.057178179570391,0.0524298696167523,0.0609711739565336,0.0607904125880523,0.0463007388926207,0.00331480442653883,0.0383596038499093,0.0558107065437043,0.0503615058588881,0.119597452477029,0.104361633026199,0.0875748502994012,0.0739644970414201,0.0721161690324686,0.066199577559116,0.0619871946881669,0.0716214478590716,0.0861392942317798,0.0588080284597479,0.089330425652209,0.0902105491643152,0.0689306402672633,0.102419513474526,0.024390243902439,0.010925906512446,0.0550018764855511,0.0655248768584211,0.0860491709548313,0.043355872195943,0.0225353752984336,0.0550713713666557,0.0461162932612675,0.00977456547926347,0.0127988199054189,0.0696055684454756,0.118925831202046,0.105001861735137,0.101459510357815,0.0387182339351416,0.0350606172549283,0.0418547066576141,0.0411184712598065,0.0399258343634116,0.0559075402074775,0.0485780108039403,0.0893810032017076,0.086217579888466,0.054544174090637,0.195957113192355,0.0938569472963724,0.0977443609022556,0.0370040917986123,0.0269428277986991,0.0938048438048438,0.0103709761356033,0.0134995124329595,0.0184986786658096,0.0861017626870148,0.088709986582327,0.0360041623309053,0.0242986355971179,0.0519902055691589,0.052457205963556,0.0562899786780384,0.0436131701430788,0.0285931174089069,0.0506817426005986
"Seq16",0.147385210574541,0.13394532029535,0.24588861249309,0.274075133485889,0,0.00137260509007721,0.294522586886954,0.304210330501643,0.772161516752298,0.670503309936463,0.000322476620445018,0,0.00196833905687244,0.00236862585862687,0.00642584230635637,0.00581782653106542,0.000838926174496644,0.000784022447800611,0.000163225332571615,0.000153346009936821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454669455305993,0,0,0.00275383752358611,0,0,0,0.000729252759006272,0.000529266004282243,0.00095264017419706,0.00156630699617125,0,0.00103034361959714,0.00298790609437989,0.00364322146500364,0.00101055014349812,0.000746629188809346,0,0,0.000367793545223281,0,0,9.31847037308826e-05,0,0.000723033123954991,0,0,0,0,0.00645105047511115,0.000929272070211668,0.0016486615471387,0,0,0,0.00010088781275222,0,0,0,0,0,0,0,0.000400213447171825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq17",0.00933247361455187,0.00818199960087807,0.00397318960751797,0.00352784134248665,0.00549877804932237,0.0043465827852445,0.00595370990548486,0.00626278911142804,0.000615095158839279,0.000997970792721466,0.00281434141479288,0.00303296352462287,0.0164167853254041,0.0114709166582073,0.00347342827370615,0.00390815828041036,0.0106391092129347,0.0108525212511348,0.00598492886095922,0.0051524259338772,0.00550212908473279,0.00429633070134696,0.0048586090184518,0.0035691892152607,0.0033438515518297,0.00290050240845289,0.00318162954765528,0.00318453544890776,0.00451992877687988,0.0050606705388464,0.00043308791684712,0.00055364854390433,0.00420896261450854,0.00421392982084173,0.000805396154233363,0.00105394644390663,0.000955794504181601,0.00151126880872593,0.00111838058491305,0.000566630608355226,0.00501777953378111,0.00495589706283532,0.00169243436099167,0.00153536128970348,0.0371258095772349,0.0039057051192635,0.0118308410184811,0.0106849022331446,0.00651465798045603,0.00854042870546347,0.00142896026129559,0.00243647754959972,0.000489476260401371,0.000412137447838854,0.000379416646905383,0.000257168574000257,0.00990339140628158,0.00478721068118934,0.00500767304741136,0.0025179075320165,0.00600729457198026,0.00434944156667322,0.0390243902439024,0.0788924997961585,0.00325257495517285,0.00271137421483122,0.0103324348607367,0.00487535912243536,0.00395970418680487,0.00466387148443021,0.00653822683288292,0.00326966098778179,0.00381795305653174,0.00157772621809745,0.00127877237851662,0.00313392081419883,0.00312752219531881,0.0186104218362283,0.0197803673976559,0.0101042373896721,0.0147135138435239,0.0160074165636588,0.00738007380073801,0.00452812202097235,0.00240128068303095,0.00137204567584314,0.000316912567343921,0.032758401491715,0.00094113620807666,0.00583296807040022,0.00722291407222914,0.0104416295789113,0.00681525681525682,0.00516690208906401,0.00176743052169673,0.00232126276694522,0.0035320382526407,0.0037569484377995,0.000208116545265349,0.000766518473095202,0.000113888730710096,0.000552181115405853,0,0,0.000379554655870445,0.00033255736614566
"Seq19",0.0147622764448366,0.0120933945320295,0.0131633499170813,0.0134916094584287,0,0,0.0157029098757163,0.0175482110745954,0.0099138866777625,0.0183293968929843,0,0,0.0108468045899992,0.00829019050519406,0.0696422368878083,0.077719056712706,0.0163971934106162,0.0138648180242634,0.000299246443047961,0.0004293688278231,0.0499497631692263,0.0576521133302369,0.0644175128289114,0.060483287512661,0.0592944944190647,0.0574921013104056,0.0563471203947065,0.062517459075926,0.0483951970049765,0.0607855540859164,0.076764833261152,0.0701472705126786,0.00307714073497683,0.00262376762429768,0.0540118795932749,0.0373175111249902,0.0645758661887694,0.0667586569419804,0.0682212156796958,0.0663472930510483,0.0275780323982616,0.0320996635446031,0.0539749336748696,0.0579119086460033,0.00280483451476363,0,0.00815666678913914,0.00744381522242405,0.0229471534833973,0.0185483676955277,0.0609689711486119,0.0630003480682214,0.0368738782835699,0.0475503580444078,0.062271757173346,0.0652779563670653,0.0169772424107684,0.0147569063199965,0.0249575963169372,0.0235294117647059,0.0208416342293193,0.0196271282757415,0,0,0.0304824652850173,0.0363776040489855,0.0187454055378584,0.0584462694796715,0.00838525592499854,0.0290196447920102,0.0216197367273995,0.00660815694372741,0.00629094537723979,0.0374013921113689,0.0294117647058824,0.0521906416780439,0.0623486682808717,0.0130059039958929,0.0180340531282534,0.0212468549063461,0.00189260966451967,0.00203955500618047,0,0,0.0589647812166489,0.0447906523855891,0.0074298390788408,0.00440733991609103,0.0790554414784394,0.00195556154961395,0.012133072407045,0.0117767887709688,0.00128700128700129,0.00840086238941343,0.000883715260848367,0.000642811227769445,0.0623438072706674,0.0513705194556258,0.0652653485952133,0.0759619806837345,0.0933318148169239,0.081249506981147,0.071499644633973,0.0782968453714877,0.0852732793522267,0.0724309943465248
"Seq25",0.00607459191638104,0.0077429654759529,0,0,0.00655409908909131,0.00663425793537318,0.0109399419513284,0.0101692813294475,0,0,0.00184691155345783,0.00244765477425706,0.0186782812630874,0.0187459817954184,0,0,0.0188377059182428,0.0235619377733762,0.000707309774476999,0.0008587376556462,0,0,0,0,0,0,0,0,0.00917682509245309,0.00851112772442349,0,0,0.00258196866268171,0.00270327573412488,0,0,0,0,0,0,0.0110628210193599,0.00841138492316086,0,0.00398234334516841,0.01851190779744,0.000418468405635375,0.0273725980085976,0.0319478576771023,0.0206621615051777,0.017465778141314,0,0,0,0,0,0,0.0256275516391123,0.0213887302911854,0.0197883854292868,0.0130236596483612,0.00876574616115487,0.00771534107053089,0,0.000221313671360846,0,0,0.00947480192763212,0.00237963957166488,0.013276655214581,0.0103641588542893,0.0190044459942464,0.00368267079676476,0.0079396069243785,0.00890951276102088,0.00856777493606138,0.00713665135906665,0.00840731772935163,0.0321724993582613,0.0292843469792121,0.0317904069651344,0.0432247626606429,0.0419653893695921,0.000417740026456868,0.000158881474420083,0.0032684098185699,0,0.000739462657135815,0.0412340551765055,0,0.0432246535621565,0.0116349404020637,0.00636768230058199,0.043992043992044,0,0.00207215992198927,0.00260695664595386,0,0,0,0,0,0,0,0,0,0
