"","STN002.517.pre.poly.3.LG","STN004.555.pre.poly.3.LG","STN012.730.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN115.730.pre.poly.3.S","STN12.3.732.pre.poly.3.S","STN151.2.600.pre.poly.3.S","STN151.2.673.pre.poly.3.S","STN174.620.pre.poly.3.S","STN181.757.pre.poly.3.S","STN20.499.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq1",0.113211777013899,0.040282033736947,0.381931015874444,0.618541465355539,0.423176823176823,0.422936692078223,0.621640735502122,0.212843833185448,0.137839652309106,0.448499955488293,0.714830846337852,0.0404246631278073,0.0291047771979125,0.460098453858421,0.630889837465113
"Seq3",0.0109849050963981,0.00139826852705798,0.0217205558303728,0.0117660433126812,0.0115884115884116,0.0111368909512761,0.00207743988684583,0.0336623779946761,0.069078831136709,0.02359120448678,0.00717621596992824,0.0382298897509187,0.153017529773853,0.01664008874714,0.0057051387292727
"Seq4",0.00175609027051263,0.00235028114122512,0.0156046229257544,0.00835559597567214,0.0157842157842158,0.0181637388133908,0.0107850070721358,0.0202417923691216,0.0113423553938023,0.0211430606249444,0.0116755894748832,0.00331768068599428,0.00428208216245149,0.0171254246689316,0.0138318831062223
"Seq5",0.00541772530264534,0.000595007883854461,0.00845437783873724,0.0161996248507929,0.0126873126873127,0.0101425256877693,0,0.0164707187222715,0.0205646443588566,0.00431763553814653,0.0050404374074496,0.0710494079216007,0.0296400374682189,0.0128267350759204,0.001559678213758
"Seq6",0.00941563293976984,0.00130901734447981,0.0136709088456177,0.0111407946342295,0.00949050949050949,0.00835266821345708,0.00132602545968883,0.0254547471162378,0.0797498321614077,0.0166473782604825,0.00412917188745871,0.0712535728868926,0.17837548507962,0.00818137696734383,0.00135445739615827
"Seq7",0.000560454341652967,0.00107101419093803,0.00296802626253541,0.00335360654805889,0.0040959040959041,0.00298309579052038,0,0.00232919254658385,0.00187272534539416,0.00222558532894151,0.00193643922998064,0.00102082482645978,0.000535260270306436,0.00547736254593358,0.00262682646527664
"Seq16",0.148894036765805,0.536845863207687,0.0205513333633134,0,0,0,0.00402227722772277,0.00166370896184561,0,0,0,0,0,0,0
"Seq17",0.0149454491107458,0.00264778508315235,0.020731213742861,0.0237026089922128,0.0151848151848152,0.0222074908849851,0.00145862800565771,0.0367125110913931,0.0424366630154411,0.00796759547761061,0.00321790636746782,0.254134340547162,0.0546634551050448,0.0158774180128961,0.00225742899359711
"Seq19",0.00067254520998356,0.000892511825781692,0.00382245806538652,0.00233047234695618,0.0037962037962038,0.00464037122969838,0.000707213578500707,0.00388198757763975,0.00293275855976821,0.00356093652630642,0.00256293427497437,0.00051041241322989,0.000334537668941523,0.00547736254593358,0.00303726810047611
"Seq25",0,0,0.00575617214552323,0,0,0.00603248259860789,0,0.0144742679680568,0.0136390940249461,0.00409507700525238,0,0.0164352797060025,0.00461661983139301,0,0
"Seq33",0.0010461814377522,0,0.00188874398524981,0.00164838287955437,0.0012987012987013,0,0,0.00449201419698314,0.00243807639306032,0.000845722424997774,0.000626495044993735,0.00142915475704369,0.001538873277131,0.002496013312071,0.000533574125759317
"Seq34",0,0.000267753547734507,0.00175383370058911,0.00142101972375377,0.002997002997003,0,0.000928217821782178,0.0031055900621118,0.00183739090491502,0.0029377726342028,0.00210730151497893,0,0,0.001664008874714,0
"Seq37",0.000560454341652967,0.000327254336119954,0.00638575347393983,0.00227363155800602,0.0035964035964036,0.00483924428239974,0.00636492220650637,0.00798580301685892,0.00551217271474506,0.00409507700525238,0.00190796218248092,0.00673744385463454,0.00247557875016727,0.00388268737433266,0.00357084222623543
"Seq38",0,0,0,0,0,0,0,0,0,0,0.000113908189998861,0,0,0,0
"Seq39",0,0,0.00139407294149391,0.00102313420110271,0,0.00132582035134239,0.00101661951909477,0.00216282165039929,0.00187272534539416,0.00249265556841449,0.00113908189998861,0.000306247447937934,0,0.00173334257782708,0.00151863405023806
"Seq40",0.332760424450755,0.0365929848570494,0.0129513873274273,0.00346728812595919,0.00999000999000999,0.0274444812727875,0,0,0,0,0,0,0,0.00422935588989808,0.00718272861599081
"Seq43",0.0289568076520699,0.0151132002499033,0.00939874983136214,0.00238731313590633,0.0118881118881119,0.0170367915147498,0.0099451909476662,0.0123114463176575,0.027207519168934,0.00823466571708359,0.00162319170748377,0.0159248672927726,0.0365315134484143,0.00533869513970741,0.000820883270398949
"Seq52",0,0,0.00215856455457121,0.00147786051270392,0.0032967032967033,0.00185614849187935,0,0.00232919254658385,0.00176672202395675,0.00231460874209917,0.000996696662490033,0.000663536137198857,0,0.00214934479650558,0.00127236906911837
"Seq54",0,0,0.000404730853982102,0.000568407889501506,0,0,0,0.000388198757763975,0.00049468216670789,0.000534140478945963,0.000512586854994874,0.00102082482645978,0.000869797939247959,0.00131734035914858,0.000369397471679527
"Seq57",0.00818263338813331,0.00437330794633029,0.00427215901425552,0.00267151708065708,0.00679320679320679,0.0116672190918131,0.00318246110325318,0.004547471162378,0.00593618600049468,0.00178046826315321,0.00370201617496298,0.00847284605961617,0.00214104108122575,0.00734937252998683,0.0049252996223937
"Seq58",0.00500672545209984,0.00113051497932348,0.014435400458695,0.0233047234695618,0.0173826173826174,0.0163738813390786,0.0115364214992928,0.0620563442768412,0.0881240945549627,0.0302234487670257,0.0226677298097733,0.0393017558187015,0.0117088184129533,0.0192054357623241,0.0174848136594976
"Seq61",0.000224181736661187,0,0.000854431802851104,0.000284203944750753,0.0003996003996004,0.00112694729864103,0,0.00299467613132209,0.00098936433341578,0.000623163892103623,0.000227816379997722,0.000306247447937934,0.000535260270306436,0.000277334812452333,0.000246264981119685
"Seq62",0.0027275444627111,0.00101151340255258,0.00256329540855331,0.00102313420110271,0.000699300699300699,0.00444149817699702,0.0015470297029703,0.00133096716947649,0.00257941415497686,0.000934745838155435,0.00250598017997494,0.0123009391588403,0.00381372942593336,0.00346668515565416,0.00418650467903464
"Seq66",0,5.95007883854461e-05,0.000269820569321401,0,0.0004995004995005,0.000464037122969838,0,0.000221827861579414,0,0,0.000142385237498576,0,0.000133815067576609,0.000693337031130833,0
"Seq71",0.00351218054102526,0.00104126379674531,0.00845437783873724,0.0117660433126812,0.00679320679320679,0.00550215445807093,0,0.0135314995563443,0.0132857496201548,0.00289326092762396,0.00207882446747921,0.00627807268272764,0.00836344172353807,0.0101920543576232,0
"Seq78",0.0524585263787177,0.178561865944724,0.000584611233529703,0,0,0,0.000397807637906648,0.000554569653948536,0.00063601992862443,0,0.000398678664996013,0.000867701102490813,0.00167268834470761,0.000970671843583166,0
"Seq81",0.000934090569421611,0,0,0,0,0,0,0.000554569653948536,0.00265008303593513,0.0139766758657527,0.0110775714773892,0.0467537770518579,0.0629599892947946,0,0
"Seq90",0.000410999850545509,0.000208252759349061,0.00148401313126771,0.00818507360882169,0.003996003996004,0.0030493868080875,0.00190063649222065,0.00953859804791482,0.0219426875375428,0.00431763553814653,0.00310399817746896,0.028021641486321,0.00909942459520942,0.00478402551480275,0.00455590215071417
"Seq91",0.0466671648483037,0.0731264689257133,0.0840041372487296,0.0226226340021599,0.0697302697302697,0.0639708319522705,0.127563649222065,0.143578083407276,0.126179286950991,0.0328941511617555,0.00492652921745073,0.0270518579011842,0.125050180650341,0.0334881786036192,0.0307010343129207
"Seq93",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180267628094017,0.000985059924478739
"Seq94",0.0016813630249589,0.000714009460625353,0.0220353464945811,0.022281589268459,0.0436563436563437,0.0239310573417302,0.0186527581329562,0.0319432120674357,0.0292922511572029,0.0240808332591472,0.0146372024148536,0.00316455696202532,0.00515188010169945,0.0185120987311932,0.0146938105401412
"Seq95",0.00198027200717382,0.000803260643203522,0.0158744434950758,0.0165406695844938,0.0346653346653347,0.0228704010606563,0.0164869165487977,0.0367679680567879,0.02042330659694,0.0505207869669723,0.0265406082697346,0.000867701102490813,0.00334537668941523,0.0159467517160092,0.0246675422754884
"Seq97",0,0,0,0,0,0,0,0.000277284826974268,0.000176672202395675,0.000445117065788302,0.000199339332498007,0,0,0.000346668515565416,0.000287309144639632
"Seq98",0.00227918098938873,0.0011602653735162,0.0134910284660701,0.00375149207070994,0.010989010989011,0.0101425256877693,0.00159123055162659,0.0402062999112689,0.0410232853962757,0.00689931451971869,0.00125299008998747,0.00714577378521846,0.0636290646326776,0.00367468626499341,0
"Seq101",0,0,0,0,0,0,0,0,0,0.000756699011840114,0,0,0,0.0012480066560355,0
"Seq110",0,0.000148751970963615,0.000629581328416603,0.000227363155800603,0.000699300699300699,0.000928074245939675,0.000397807637906648,0.000499112688553682,0.000388678845270485,0.000890234131576605,0.000541063902494589,0,0,0.0020800110933925,0.000369397471679527
"Seq117",0,0.000654508672239907,0.00350766740117822,0.0140965156596374,0.0117882117882118,0.007756049055353,0.00552510608203678,0.00377107364685004,0.00462881170276669,0.00881331790260839,0.0052397767399476,0.000663536137198857,0.000869797939247959,0.0321708382444706,0.0170333278607782
"Seq123",0,0,0,0,0,0,0.000618811881188119,0.00188553682342502,0.000954029892936645,0,0,0,0,0.00110933924980933,0
"Seq124",0.00160663577940517,0,0.00445203939380312,0,0,0.00258534968511767,0,0.00770851818988465,0.00434613617893361,0.0033828896999911,0.00119603599498804,0.00362392813393222,0.00314465408805031,0.00131734035914858,0
"Seq125",0.00403527125990136,0.000148751970963615,0.00710527499213023,0.00682089467401807,0.00989010989010989,0.00987736161750083,0.0045968882602546,0.00554569653948536,0.013356418501113,0.0175821240986379,0.0072901241599271,0.00117394855042875,0.0014719657433427,0.0158774180128961,0.0272943687407651
"Seq128",0,0,0,0,0,0,0,0,0,0,0.000313247522496867,0,0,0,0.000574618289279264
"Seq130",0.000934090569421611,0.000624758278047184,0.0129064172325404,0.0188143011424999,0.0152847152847153,0.0203513423931057,0.00711633663366337,0.0125332741792369,0.00996431221511607,0.0108608564052346,0.00600865702243991,0.004644752960392,0.00180650341228422,0.0401442141024752,0.0177721228041373
"Seq132",0,0,0.000854431802851104,0.000795771045302109,0.000799200799200799,0,0,0.000388198757763975,0.0007066888095827,0.000311581946051812,0.000313247522496867,0,0,0.0004160022186785,0
