"","STN002.20.pre.poly.3.LG","STN056a.150.pre.poly.3.LG","STN056a.170.pre.poly.3.LG","STN056b.190.pre.poly.3.LG","STN068.190.pre.poly.3.LG","STN078.100.pre.poly.3.LG","STN078.180.pre.poly.3.LG","STN078.20.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN089.2.pre.poly.3.LG","STN089.200.pre.poly.3.LG","STN106.100.pre.poly.3.S","STN106.170.pre.poly.2.LG","STN106.20.pre.poly.3.S","STN115.125.pre.poly.3.S","STN115.180.pre.poly.3.S","STN12.3.15.pre.poly.3.S","STN12.3.165.pre.poly.3.S","STN146.160.pre.poly.3.S","STN153.160.pre.poly.3.S","STN153.2.pre.poly.3.S","STN174.3.pre.poly.3.S","STN181.2.pre.poly.3.S","STN20.175.pre.poly.3.LG","STN22.150.pre.poly.3.LG","STN22.2.pre.poly.3.LG"
"Seq1",0.00463595549482725,0.518681518802926,0.560122408062048,0.684578749947317,0.0151452891106545,0.0068781894830264,0.0175706646294882,0.00575751079533274,0.621640735502122,0.654952960708356,0.706968915780727,0.104868913857678,0.427789934354486,0.0185491884730043,0.00991308299721638,0.0221644282276221,0.00622314885013899,0.0228140511645666,0.00390314669614176,0.140891745330388,0.00591307350338815,0.00255247986621485,0.00951974992895709,0.176024140453548,0.666336633663366,0.436720493632664
"Seq3",0.0315244973648253,0.0139618174644125,0.0279639107265341,0.0222109832680069,0.506545347813325,0.506915168996376,0.356251591545709,0.28652803724007,0.00207743988684583,0.00719424460431655,0.00389884313015318,0.211610486891386,0.0696571845368344,0.218284200066247,0.273902175765495,0.4375436689698,0.0718347232752085,0.190721649484536,0.449241822389555,0.115987146013256,0.0779489835556131,0.0369229415130044,0.285734583688548,0.0815654718361375,0.00120533792509686,0.104765655769988
"Seq4",0,0.0148420190002125,0.0156703424260012,0.00948286761916804,0.0094511300264162,0,0.00152788388082506,0.129972743698894,0.0107850070721358,0.0218594355285003,0.0129535334597439,0.0168539325842697,0.0144055433989788,0.00165617754223253,0.000852127478270749,0.00217374427451285,0,0.000453417334860634,0.00072536354530068,0.0029122313717614,0.000431611204626872,0,0.000852514919011083,0.00877834674469642,0.0035729659922514,0.00452934226073257
"Seq5",0.499316806558657,0.0107748808692749,0.012188044109112,0.0401230665486576,0.306604050484297,0.143258634716367,0.0748663101604278,0.095366428812054,0,0.00857775318206973,0.000873511302384047,0.260299625468165,0.0286287381473377,0.498840675720437,0.0648753053456797,0.0634267525813213,0.165813747788729,0.134855861015655,0.155158716451936,0.0596505322353886,0.0736328715093444,0.0428200501694319,0.158567774936061,0.0351133869787857,0.00236762806715454,0.0520546146776946
"Seq6",0.0654889713058755,0.00971256867089568,0.0122408062048225,0.0107472499683904,0.045259759319049,0.202721692182531,0.196842373312962,0.116375218203534,0.00132602545968883,0,0.00132091953043441,0.0955056179775281,0.0386579139314369,0.104339185160649,0.262284837811737,0.25087337939601,0.440042961839778,0.36614642993509,0.275154571517391,0.150130548302872,0.236350295653675,0.051049597324297,0.222790565501563,0.123079736649598,0.00163581575548859,0.069515557306026
"Seq7",0.000439195783720476,0.00251919749901357,0.0034295362211787,0.00278164116828929,0.0221309069562665,0.000295836106796835,0.000254647313470843,0.0934064251370471,0,0.00359712230215827,0.00262053390715214,0,0.00692924872355945,0,0.0006817019826166,0.000931604689076935,0.000631791761435431,0.000357961053837342,0.000828986908915063,0.00160674834304077,0.00224437826405974,0.00167231439510628,0.00184711565785735,0.00128017556693489,0.00245372363323289,0.00210056452671655
"Seq16",0.00380636345891079,0,0,0,0,0,0.00140056022408964,0,0.00402227722772277,0,0.00153397106760125,0.00936329588014981,0,0,0.00017042549565415,0.00100923841316668,0,0,0,0,0,0,0,0.00228602779809802,0.0220404649160568,0
"Seq17",0.0167382393129026,0.0638601390111391,0.068221389753601,0.0574451047330046,0.0048136190196654,0.0732933954589158,0.259867583396995,0.0183137843383456,0.00145862800565771,0.00193691200885445,0.00193876898821825,0.0711610486891386,0.0516046681254559,0.0688969857568731,0.31190706129637,0.119284217063893,0.165339903967652,0.174971363115693,0.0665607405616386,0.091685077324764,0.183693728689197,0.0446683976587598,0.144359192952543,0.302395757132407,0.00581145071028842,0.0703689116450046
"Seq19",0,0.003095881263848,0.00321848783833694,0.0028237872465967,0,0,0,0.00303188068477628,0.000707213578500707,0,0.00257792359971877,0,0.00364697301239971,0,0,0,0,0,0,0.00130548302872063,0,0,0,0.000457205559619605,0.00206629358588033,0.00196927924379677
"Seq25",0,0.0324460497162109,0.042895583812589,0.0198508028827918,0.00076313472262988,0,0.01056786350904,0.0495819679661899,0,0,0,0.0299625468164794,0.0406637490882567,0,0.00656138158268477,0.0102088347178014,0,0.00885357006491027,0.00110531587855342,0,0,0,0,0.0730614484272129,0,0.00912432716292504
