,rn,s.Bottom,s.Mid,s.Mid-Bottom,s.Mid-Surface,s.Surface,index,stat,p.value,p.value.bh
1,Seq5,0,0,0,0,1,5,0.442026449,9.00E-04,0.032487097
2,Seq21,0,0,0,0,1,5,0.455355002,0.001,0.032911765
3,Seq33,0,0,0,0,1,5,0.383490052,0.001,0.032911765
4,Seq86,0,0,0,0,1,5,0.484442824,1.00E-04,0.01119
5,Seq91,1,0,0,0,0,1,0.466266248,6.00E-04,0.024866667
6,Seq94,1,0,1,0,0,7,0.543011916,1.00E-04,0.01119
7,Seq116,1,0,0,0,0,1,0.478636478,2.00E-04,0.01865
8,Seq158,1,1,1,0,0,16,0.454311523,3.00E-04,0.02238
9,Seq205,1,0,1,0,0,7,0.399780274,0.0015,0.045364865
10,Seq220,1,0,1,0,0,7,0.510762565,1.00E-04,0.01119
11,Seq244,1,0,0,0,0,1,0.475127372,6.00E-04,0.024866667
12,Seq272,1,0,0,0,0,1,0.541905521,1.00E-04,0.01119
13,Seq290,1,1,1,0,0,16,0.492428701,1.00E-04,0.01119
14,Seq323,1,0,0,0,0,1,0.480668472,3.00E-04,0.02238
15,Seq331,1,0,1,0,0,7,0.530780512,1.00E-04,0.01119
16,Seq353,1,0,1,0,0,7,0.43864315,0.0015,0.045364865
17,Seq366,1,0,1,0,0,7,0.480217503,8.00E-04,0.030868966
18,Seq369,1,0,1,0,0,7,0.425524741,9.00E-04,0.032487097
19,Seq371,1,0,1,0,0,7,0.461719145,6.00E-04,0.024866667
20,Seq380,1,0,1,0,0,7,0.442723244,5.00E-04,0.024866667
21,Seq407,1,0,1,0,0,7,0.498921597,4.00E-04,0.02238
22,Seq414,1,0,0,0,0,1,0.437640205,0.001,0.032911765
23,Seq420,1,0,1,0,0,7,0.466946868,4.00E-04,0.02238
24,Seq452,1,0,1,0,0,7,0.471832184,6.00E-04,0.024866667
25,Seq463,1,0,0,0,0,1,0.568136964,1.00E-04,0.01119
26,Seq482,1,0,0,0,0,1,0.4280517,0.0014,0.04476
27,Seq512,1,0,0,0,0,1,0.450769199,4.00E-04,0.02238
28,Seq545,1,0,0,0,0,1,0.503234282,4.00E-04,0.02238
29,Seq582,1,0,0,0,0,1,0.470344646,4.00E-04,0.02238
30,Seq585,1,0,0,0,0,1,0.502617892,2.00E-04,0.01865
31,Seq611,1,0,0,0,0,1,0.462820613,7.00E-04,0.027975
32,Seq662,1,0,0,0,0,1,0.433536265,4.00E-04,0.02238
33,Seq703,1,0,0,0,0,1,0.584297425,1.00E-04,0.01119
34,Seq794,1,0,0,0,0,1,0.541934281,1.00E-04,0.01119
35,Seq925,1,0,0,0,0,1,0.521281312,5.00E-04,0.024866667
36,Seq990,1,0,0,0,0,1,0.41750512,0.0016,0.047115789
37,Seq1017,1,0,0,0,0,1,0.589051594,1.00E-04,0.01119
38,Seq1119,1,0,0,0,0,1,0.462989447,6.00E-04,0.024866667
