Station,ART_NUMBER,Bottle,Date,Salinity,Sal11,Oxygen,PrDM,Depth,Temperature,C0mS/cm,T190C,C1mS/cm,Sbeox0ML/L,Sbeox1ML/L,FlECO-AFL,CStarTr0,Par,Latitude,Longitude,TimeJ,AltM,Spar
STN002,ART2025,1,Jan 15 2022,34.66,34.66,7.84,522.82,516.81,0.93,29.82,0.93,29.82,4.52,4.72,0.37,99.35,0,-72.2,-117.69,15.55,4.32,834.45
STN002,ART2026,2,Jan 15 2022,34.66,34.66,7.84,523.01,516.99,0.93,29.82,0.93,29.82,4.52,4.71,0.02,99.28,0,-72.2,-117.69,15.55,4.13,929.32
STN002,ART2027,3,Jan 15 2022,34.66,34.66,7.84,505.44,499.65,0.93,29.81,0.93,29.81,4.51,4.71,0.02,99.31,0,-72.2,-117.69,15.55,21.93,1440.4
STN002,ART2028,4,Jan 15 2022,34.66,34.66,7.84,505.53,499.73,0.93,29.81,0.93,29.81,4.52,4.71,0.03,99.22,0,-72.2,-117.69,15.55,21.75,1451
STN002,ART2029,5,Jan 15 2022,34.66,34.66,7.84,472.5,467.12,0.92,29.79,0.92,29.79,4.52,4.71,0.02,99.33,0,-72.2,-117.69,15.56,55.02,1483.3
STN002,ART2030,6,Jan 15 2022,34.66,34.66,7.84,472.69,467.31,0.92,29.79,0.92,29.79,4.52,4.7,0.02,99.31,0,-72.2,-117.69,15.56,55.1,1489.7
STN002,ART2031,7,Jan 15 2022,34.3,34.29,8.15,404.23,399.7,-0.45,28.31,-0.48,28.28,5.08,5.33,0.08,99.31,0,-72.2,-117.69,15.56,99.85,1507.7
STN002,ART2032,8,Jan 15 2022,34.29,34.29,8.15,404.24,399.71,-0.48,28.28,-0.48,28.28,5.1,5.32,0.07,99.34,0,-72.2,-117.69,15.56,99.85,1507.3
STN002,ART2033,9,Jan 15 2022,34.13,34.13,8.44,303.02,299.7,-1.73,27.07,-1.74,27.06,6.47,6.76,0.06,99.44,0,-72.2,-117.69,15.56,99.85,1524.2
STN002,ART2034,10,Jan 15 2022,34.13,34.12,8.44,303.14,299.82,-1.74,27.06,-1.75,27.06,6.48,6.76,0.03,99.41,0,-72.2,-117.69,15.56,99.85,1520.2
STN002,ART2035,11,Jan 15 2022,34.11,34.11,8.44,202.11,199.94,-1.75,27,-1.75,27,6.58,6.87,0.55,99.01,0,-72.2,-117.69,15.56,99.82,1583.9
