Latitude,Longitude,Salinity,Temperature,CTD_Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,sample_name,Depth,Station,Depth_Threshold,More_Depth_Threshold,watertype,Flow_of_CDW,Location,Sample.Control,Iron_Level,Replicate_Number,Pos_in_polynya,Siderophore,True_Flow,Coastal_Current_Name,Coastal_Current_Number,Transect_Name,Transect_Number,Notes,is.neg
-72.2,-117.69,34.66,0.93,516.81,33.62,2.26,0.02,0.27,4.52,43.4,NA,STN002.517.pre.poly.3.LG,517,STN002,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,NA,NA,NA,NA,NA,NA,transect1,2,mCDW / Tmax,FALSE
-72.2,-117.69,34.66,0.93,516.99,33.62,2.26,0.02,0.27,4.52,43.4,NA,STN002.517.fil.dura.r1,517,STN002,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,1,NA,NA,NA,NA,NA,transect1,2,mCDW / Tmax,FALSE
-72.2,-117.69,34.66,0.93,516.99,33.62,2.26,0.02,0.27,4.52,43.4,NA,STN002.517.fil.dura.r2,517,STN002,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,2,NA,NA,NA,NA,NA,transect1,2,mCDW / Tmax,FALSE
-72.2,-117.69,34.13,-1.73,299.7,31.52,2.16,0.04,0.08,6.47,48.7,NA,STN002.200.pre.poly.3.LG,200,STN002,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,WW - base of fluor max,FALSE
-72.2,-117.69,34.13,-1.74,299.82,31.52,2.16,0.04,0.08,6.48,48.7,NA,STN002.200.fil.dura.r1,200,STN002,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,1,NA,NA,NA,NA,NA,NA,NA,WW - base of fluor max,FALSE
-72.2,-117.69,34.13,-1.74,299.82,31.52,2.16,0.04,0.08,6.48,48.7,NA,STN002.200.fil.dura.r2,200,STN002,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-72.2,-117.69,33.49,-0.61,19.6,9.22,0.87,0.08,0.41,9.35,64.8,NA,STN002.20.pre.poly.3.LG,20,STN002,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,NA,NA,Open_polynya_surf,NA,NA,NA,NA,NA,NA,thick chla layer,FALSE
-72.2,-117.69,33.48,-0.6,19.86,9.22,0.87,0.08,0.41,9.36,64.8,NA,STN002.20.fil.dura.r1,20,STN002,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,NA,1,Open_polynya_surf,NA,NA,NA,NA,NA,NA,NA,FALSE
-72.2,-117.69,33.48,-0.6,19.86,9.22,0.87,0.08,0.41,9.36,64.8,NA,STN002.20.fil.dura.r2,20,STN002,Surface,Surface,AASW,Open_polynya,Open_polynya,True.Sample,NA,2,Open_polynya_surf,NA,NA,NA,NA,NA,NA,thick chla layer,FALSE
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,KITBL.r10,Blank,Blank,Blank,Blank,NA,Blank,Blank,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,Blank,TRUE
-73.14,-113.95,34.58,0.59,555.32,33.86,2.27,0.03,0.03,4.56,42.2,NA,STN004.555.pre.poly.3.LG,555,STN004,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,NA,NA,NA,NA,NA,NA,transect1,3,NA,FALSE
-73.14,-113.95,34.58,0.58,555,33.86,2.27,0.03,0.03,4.56,42.2,NA,STN004.555.fil.dura.r1,555,STN004,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,1,NA,NA,NA,NA,NA,transect1,3,did not fire,FALSE
-73.14,-113.95,34.58,0.58,555,33.86,2.27,0.03,0.03,4.56,42.2,NA,STN004.555.fil.dura.r2,555,STN004,Bottom_water,Bottom,CDW,Open_polynya,Open_polynya,True.Sample,NA,2,NA,NA,NA,NA,NA,transect1,3,NA,FALSE
-73.14,-113.95,34.13,-1.8,299.91,31.88,2.15,0.03,0.12,6.58,42,NA,STN004.300.pre.poly.3.LG,300,STN004,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,WW,FALSE
-73.14,-113.95,34.13,-1.8,299.91,31.88,2.15,0.03,0.12,6.58,42,NA,STN004.300.fil.dura.r1,300,STN004,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-73.14,-113.95,34.13,-1.8,299.54,31.88,2.15,0.03,0.12,6.58,42,NA,STN004.300.fil.dura.r2,300,STN004,Intermediate,Mid,WW,Open_polynya,Open_polynya,True.Sample,NA,2,NA,NA,NA,NA,NA,NA,NA,WW,FALSE
-73.14,-113.95,33.88,-0.42,29.77,16.96,1.42,0.07,0.65,8.63,52.9,NA,STN004.30.pre.poly.3.LG,30,STN004,Surface,Surface,WW-CDW,Open_polynya,Open_polynya,True.Sample,NA,NA,Open_polynya_surf,NA,NA,NA,NA,NA,NA,NA,FALSE
-73.14,-113.95,33.88,-0.42,29.78,16.96,1.42,0.07,0.65,8.64,52.9,NA,STN004.30.fil.dura.r1,30,STN004,Surface,Surface,WW-CDW,Open_polynya,Open_polynya,True.Sample,NA,1,Open_polynya_surf,NA,NA,NA,NA,NA,NA,NA,FALSE
